stage,host_milliseconds,samples
lf.data.next,0.6756479851901531,1
lf.grad_clip,5.258689052425325,1
lf.inputs.prepare,0.33446401357650757,1
lf.log_save_eval,7.724242459516972,2
lf.optimizer.step,995.6972215856824,7
lf.scheduler.step,0.27081603184342384,1
lf.step.total,1827.3625569418073,1
lf.train.total,0.0,0
step.backward,1195.4810780007392,1
step.forward,591.1539129447192,1
