name,available,data_bytes,rss_bytes,rss_peak_bytes,source,stack_bytes,virtual_memory_bytes,avg_process_rss_delta_bytes,avg_process_rss_end_bytes,avg_process_rss_start_bytes,avg_process_virtual_memory_delta_bytes,avg_process_virtual_memory_end_bytes,avg_process_virtual_memory_start_bytes,max_process_rss_end_bytes,max_process_rss_peak_end_bytes,max_process_virtual_memory_end_bytes,process_rss_pre_step_overhead_delta_bytes,process_rss_delta_bytes
report,True,156655812608,205303644160,213672263680,/proc/self/status,393216,742058164224,,,,,,,,,,,
lf.data.next,,,,,,,,0.0,205284769792.0,205284769792.0,0.0,741992235008.0,741992235008.0,205284769792,213672263680,741992235008,,
lf.grad_clip,,,,,,,,0.0,205303644160.0,205303644160.0,0.0,741992235008.0,741992235008.0,205303644160,213672263680,741992235008,,
lf.inputs.prepare,,,,,,,,0.0,205284769792.0,205284769792.0,0.0,741992235008.0,741992235008.0,205284769792,213672263680,741992235008,,
lf.log_save_eval,,,,,,,,0.0,205303644160.0,205303644160.0,0.0,741992235008.0,741992235008.0,205303644160,213672263680,741992235008,,
lf.optimizer.step,,,,,,,,0.0,205279377115.42856,205279377115.42856,0.0,741991982226.2858,741991982226.2858,205303644160,213672263680,741992235008,,
lf.scheduler.step,,,,,,,,0.0,205303644160.0,205303644160.0,0.0,741992235008.0,741992235008.0,205303644160,213672263680,741992235008,,
lf.step.total,,,,,,,,18874368.0,205303644160.0,205284769792.0,0.0,741992235008.0,741992235008.0,205303644160,213672263680,741992235008,,
step.backward,,,,,,,,0.0,205303644160.0,205303644160.0,0.0,741992235008.0,741992235008.0,205303644160,213672263680,741992235008,,
step.forward,,,,,,,,18874368.0,205303644160.0,205284769792.0,0.0,741992235008.0,741992235008.0,205303644160,213672263680,741992235008,,
optimizer_step_start,True,156655878144,205303644160,213672263680,/proc/self/status,393216,741992235008,,,,,,,,,,0,
optimizer_step_before,True,156655878144,205303644160,213672263680,/proc/self/status,393216,741992235008,,,,,,,,,,0,
optimizer_step_after,True,156655878144,205303644160,213672263680,/proc/self/status,393216,741992235008,,,,,,,,,,,0
