epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785939241,t2bx384,439576000,1678048128,0
1785939243,t2bx384,439592576,1678118208,0
1785939245,t2bx384,439596096,1678131776,0
1785939247,t2bx384,439593344,1678129920,0
1785939249,t2bx384,439595520,1678134976,0
1785939251,t2bx384,439601152,1678162368,0
1785939253,t2bx384,439599744,1678160000,0
1785939255,t2bx384,439599744,1678173696,0
1785939257,t2bx384,439596544,1678171584,0
1785939259,t2bx384,439598976,1678174784,0
1785939261,t2bx384,439600256,1678176128,0
1785939264,t2bx384,439596736,1678165504,0
1785939266,t2bx384,439597632,1678165696,0
1785939268,t2bx384,439597056,1678165952,0
1785939270,t2bx384,439599232,1678165248,0
1785939272,t2bx384,439585280,1678159616,92160
1785939274,t2bx384,439578944,1678178240,129024
1785939276,t2bx384,439578944,1678173824,129024
1785939278,t2bx384,439592576,1677949760,626688
1785939280,t2bx384,439600832,1677903168,792576
1785939282,t2bx384,439598720,1677068352,1640448
1785939284,t2bx384,439597632,1676729920,1972224
1785939286,t2bx384,439598976,1677567424,479232
1785939288,t2bx384,439608448,1677437952,516096
1785939290,t2bx384,439624256,1677407296,552960
1785939292,t2bx384,439634560,1677262336,792576
1785939294,t2bx384,439639936,1676168448,1032192
1785939296,t2bx384,439652032,1673653696,1718400
1785939298,t2bx384,439661376,1672710656,1241920
1785939300,t2bx384,439674752,1672342592,1352512
1785939302,t2bx384,439689344,1671923520,1463104
1785939304,t2bx384,439694528,1671482752,1592128
1785939306,t2bx384,439703040,1671056768,1721152
1785939309,t2bx384,439709056,1670614080,1831744
1785939311,t2bx384,439714560,1670071232,1942336
1785939313,t2bx384,439725184,1669781440,2052928
1785939315,t2bx384,439732032,1669452288,2163520
1785939317,t2bx384,439739200,1668998848,2274112
1785939319,t2bx384,439745920,1668594560,2384704
1785939321,t2bx384,439756160,1668177024,2513728
1785939323,t2bx384,439760128,1667762304,2624320
1785939325,t2bx384,439767488,1667580352,2734912
1785939327,t2bx384,439774656,1667315328,2845504
1785939329,t2bx384,439778304,1666967744,2956096
1785939331,t2bx384,439786112,1666597824,3066688
1785939333,t2bx384,439792640,1666225472,3177280
1785939335,t2bx384,439796864,1665917184,3287872
1785939337,t2bx384,439803200,1665540224,3398464
1785939339,t2bx384,439810880,1665132992,3527488
1785939341,t2bx384,439815680,1664618240,3619648
1785939343,t2bx384,439822016,1664226688,3730240
1785939345,t2bx384,439826048,1664036736,3859264
1785939347,t2bx384,439831104,1661205312,4688704
1785939349,t2bx384,439836800,1659827776,4848000
1785939352,t2bx384,439843136,1659813056,4897728
1785939354,t2bx384,439847616,1658715008,5280192
1785939356,t2bx384,439852992,1675221248,1142784
1785939358,t2bx384,417704640,1661559360,55492032
1785939360,t2bx384,380131008,1624527168,126603072
1785939362,t2bx384,339345024,1581261568,204177856
1785939364,t2bx384,299063104,1527033472,315532608
1785939366,t2bx384,261121536,1462313280,437695936
1785939368,t2bx384,231316032,1415444544,527049024
1785939370,t2bx384,231312000,1409432448,533371200
1785939372,t2bx384,238181760,1409496640,531963328
1785939374,t2bx384,242859712,1406477504,535222080
1785939376,t2bx384,247558784,1401669504,541547072
1785939378,t2bx384,252249792,1393962880,547982464
1785939380,t2bx384,259178880,1394414720,546646016
1785939382,t2bx384,263849920,1387711808,554105856
1785939384,t2bx384,268458432,1382283648,559527488
1785939386,t2bx384,275514816,1382419776,560517632
1785939389,t2bx384,280217088,1374029440,567671936
1785939391,t2bx384,287214656,1371686464,570505280
1785939393,t2bx384,291904768,1365662976,573072768
1785939395,t2bx384,298931072,1362831296,579139392
1785939397,t2bx384,305972928,1361383808,579521344
1785939399,t2bx384,310667776,1352577152,589145664
1785939401,t2bx384,317699456,1351124992,591850048
1785939403,t2bx384,324664256,1348290688,592748096
1785939405,t2bx384,329208512,1341410176,600340608
1785939407,t2bx384,329849664,1336668544,605780736
1785939409,t2bx384,327710208,1334517184,608377408
1785939411,t2bx384,325206976,1332032896,610216320
1785939413,t2bx384,322924864,1331467520,610972992
1785939415,t2bx384,317893120,1324713920,617232064
