epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785943453,f2t3_384000,323372160,1317506560,619218176
1785943455,f2t3_384000,323226752,1317373568,619218176
1785943457,f2t3_384000,323025600,1317179456,619218176
1785943459,f2t3_384000,322735808,1316882112,619218176
1785943461,f2t3_384000,322625472,1316779328,619218176
1785943463,f2t3_384000,322543808,1316701184,619218176
1785943465,f2t3_384000,322411520,1316557312,619218176
1785943467,f2t3_384000,322121152,1316277248,619218176
1785943469,f2t3_384000,321963904,1316149248,619218176
1785943471,f2t3_384000,321859008,1316049792,619218176
1785943473,f2t3_384000,321756288,1315906688,619218176
1785943476,f2t3_384000,321550272,1315711872,619218176
1785943478,f2t3_384000,321524928,1315699264,619218176
1785943480,f2t3_384000,321338688,1315489024,619218176
1785943482,f2t3_384000,321290048,1315456768,619218176
1785943484,f2t3_384000,321187392,1315368000,619218176
1785943486,f2t3_384000,321152000,1315384320,619218176
1785943488,f2t3_384000,321161152,1315338880,619218176
1785943490,f2t3_384000,321127040,1315300224,619218176
1785943492,f2t3_384000,321143808,1315378560,619218176
1785943494,f2t3_384000,321068096,1315220864,619218176
1785943496,f2t3_384000,321019840,1315181696,619218176
1785943498,f2t3_384000,320946944,1315159104,619513088
1785943500,f2t3_384000,320821248,1315107200,619808000
1785943502,f2t3_384000,320519360,1314877312,620010752
1785943504,f2t3_384000,320097984,1314599232,620397824
1785943506,f2t3_384000,319589568,1314217344,620821760
1785943508,f2t3_384000,319033216,1313847424,621208832
1785943510,f2t3_384000,318629568,1313630592,621761792
1785943512,f2t3_384000,318180480,1313367872,622259456
1785943514,f2t3_384000,317753152,1313117824,622738688
1785943516,f2t3_384000,317252096,1312818176,623439104
1785943518,f2t3_384000,316638464,1312428224,624102656
1785943520,f2t3_384000,316184000,1312170816,624655616
1785943523,f2t3_384000,315773248,1311950976,625061120
1785943525,f2t3_384000,315428288,1311794496,625558784
1785943527,f2t3_384000,314983232,1311513216,626038016
1785943529,f2t3_384000,314485312,1311208576,626775296
1785943531,f2t3_384000,314062848,1310983744,627291392
1785943533,f2t3_384000,313449152,1310599488,627936512
1785943535,f2t3_384000,313007680,1310329344,628415744
1785943537,f2t3_384000,312536000,1310068992,628821248
1785943539,f2t3_384000,312101504,1309801536,629411072
1785943541,f2t3_384000,311704896,1309589504,629853440
1785943543,f2t3_384000,311148544,1309248192,630480128
1785943545,f2t3_384000,310664512,1308969728,631198976
1785943547,f2t3_384000,310229952,1308753920,631659776
1785943549,f2t3_384000,309771840,1308480640,627471168
1785943551,f2t3_384000,309335104,1308168000,627913536
1785943553,f2t3_384000,309112000,1308041024,628134720
1785943555,f2t3_384000,308606976,1307687040,628595520
1785943557,f2t3_384000,308310592,1307536448,628835136
1785943559,f2t3_384000,307934208,1307319808,629424960
1785943561,f2t3_384000,307581504,1307124160,629922624
1785943564,f2t3_384000,307259776,1306928320,630364992
1785943566,f2t3_384000,307047488,1306859456,630604608
1785943568,f2t3_384000,306768512,1306701632,631065408
1785943570,f2t3_384000,306455360,1306494080,631360320
1785943572,f2t3_384000,305945856,1306159872,631784256
1785943574,f2t3_384000,305565056,1305917312,632189760
1785943576,f2t3_384000,305100288,1305615488,632632128
1785943578,f2t3_384000,304799936,1305419840,632890176
1785943580,f2t3_384000,304178240,1305034560,633516864
1785943582,f2t3_384000,303621248,1304691328,634069824
1785943584,f2t3_384000,302902016,1304150912,634549056
1785943586,f2t3_384000,302343936,1303793536,635194176
1785943588,f2t3_384000,301664064,1303365056,635931456
1785943590,f2t3_384000,301033728,1302937728,636465984
1785943592,f2t3_384000,300290880,1302403776,637240128
1785943594,f2t3_384000,299468288,1301813760,637958976
1785943596,f2t3_384000,298835264,1301408064,638364480
1785943598,f2t3_384000,298335040,1301074624,638935872
1785943600,f2t3_384000,297691968,1300669952,639525696
1785943602,f2t3_384000,297100096,1300328832,635519680
1785943604,f2t3_384000,296680256,1300054656,635998912
1785943607,f2t3_384000,295724928,1299512576,637049536
1785943609,f2t3_384000,295459840,1296592768,635037312
1785943611,f2t3_384000,294368064,1293950400,641283712
1785943613,f2t3_384000,276451008,1276026752,659254912
1785943615,f2t3_384000,267481984,1262773248,669022400
1785943617,f2t3_384000,265820544,1252011136,670064704
1785943619,f2t3_384000,261010816,1223375808,673456192
1785943621,f2t3_384000,256976768,1161637568,676405312
1785943623,f2t3_384000,252355904,1154050304,681142336
1785943625,f2t3_384000,243833088,1140915328,689768512
1785943627,f2t3_384000,240099776,1137179712,693067840
1785943629,f2t3_384000,233769280,1130862144,698615872
1785943631,f2t3_384000,229287744,1126382144,702818368
1785943633,f2t3_384000,224537536,1121632832,707426368
1785943635,f2t3_384000,219660224,1116744832,712697920
1785943637,f2t3_384000,214696832,1111784320,717434944
1785943639,f2t3_384000,206469056,1103570624,725028928
1785943641,f2t3_384000,202065152,1099169856,729212992
1785943644,f2t3_384000,197198592,1094303744,733820992
1785943646,f2t3_384000,192881280,1089988352,738023488
1785943648,f2t3_384000,187913472,1085022080,742631488
1785943650,f2t3_384000,178856960,1075966592,751423552
1785943652,f2t3_384000,174583040,1071682880,755626048
1785943654,f2t3_384000,169866944,1066979520,760234048
1785943656,f2t3_384000,165627648,1062743232,764436544
1785943658,f2t3_384000,160826368,1057943872,769044544
1785943660,f2t3_384000,152468928,1049556992,777596992
1785943662,f2t3_384000,148343296,1045426496,781449280
1785943664,f2t3_384000,142702592,1039805632,786647104
1785943666,f2t3_384000,138336000,1035443520,790831168
1785943668,f2t3_384000,138083392,1035196032,790831168
1785943670,f2t3_384000,129463808,1026554112,799641664
1785943672,f2t3_384000,125617024,1022702592,803512384
1785943674,f2t3_384000,120048320,1012564736,808452160
1785943676,f2t3_384000,115851968,1008364608,812636224
1785943678,f2t3_384000,111282944,1003799808,817244224
1785943680,f2t3_384000,105465536,997975424,823547968
1785943683,f2t3_384000,100997184,993501376,827990080
1785943685,f2t3_384000,93820416,986339584,834865216
1785943687,f2t3_384000,89644992,982166848,839049280
1785943689,f2t3_384000,85020096,977512960,843657280
1785943691,f2t3_384000,80319616,972818240,848762944
1785943693,f2t3_384000,75901824,968389568,853315648
1785943695,f2t3_384000,67339712,959841152,861278272
1785943697,f2t3_384000,63161088,955665344,865462336
1785943699,f2t3_384000,58744000,951241792,870070336
1785943701,f2t3_384000,54728896,947231808,874272832
1785943703,f2t3_384000,50224768,942733056,878880832
1785943705,f2t3_384000,41507584,934013312,887672896
1785943707,f2t3_384000,37330112,929834752,891875392
1785943709,f2t3_384000,32884160,925381952,896483392
1785943711,f2t3_384000,28764352,921267968,900667456
1785943713,f2t3_384000,24112512,916620352,905275456
1785943715,f2t3_384000,19859840,912362368,909477952
1785943717,f2t3_384000,15489088,907984192,913680448
1785943719,f2t3_384000,16765184,908989504,918288448
1785943722,f2t3_384000,12123840,904361920,922472512
1785943724,f2t3_384000,10744448,895937920,927080512
1785943726,f2t3_384000,10511616,892928960,935891008
1785943744,f2t3_384000,9862464,890491648,938471488
1785943746,f2t3_384000,20264384,878892864,934766656
1785943748,f2t3_384000,20258624,874229760,934969408
1785943750,f2t3_384000,18585344,869085056,939577408
1785943752,f2t3_384000,14034560,864549184,943761472
1785943754,f2t3_384000,16191872,862229952,940959808
1785943756,f2t3_384000,13319936,856410112,946581568
1785943758,f2t3_384000,15626624,852014144,944683072
1785943760,f2t3_384000,13389952,845278720,946692160
1785943762,f2t3_384000,14456576,840473408,945475648
1785943764,f2t3_384000,15016192,836378304,943429696
1785943766,f2t3_384000,12372992,831554624,947632192
1785943769,f2t3_384000,14021056,827517696,942968896
1785943771,f2t3_384000,12274304,818991232,948719680
1785943773,f2t3_384000,14257728,815316416,947152960
1785943775,f2t3_384000,14945216,811045120,944388160
1785943777,f2t3_384000,13793792,806493888,947613760
1785943779,f2t3_384000,13160384,805877248,947613760
1785943781,f2t3_384000,13646656,798363136,948498496
1785943783,f2t3_384000,13221824,795016448,948996160
1785943785,f2t3_384000,12104064,784491520,949567552
1785943787,f2t3_384000,12941120,780139008,948609088
1785943789,f2t3_384000,17081728,776292480,941273152
1785943791,f2t3_384000,16089344,769465728,945954880
1785943793,f2t3_384000,12189248,764498880,948645952
1785943795,f2t3_384000,17045504,758360384,944480320
1785943797,f2t3_384000,12497664,753391168,948664384
1785943799,f2t3_384000,16342848,749877952,942600256
1785943801,f2t3_384000,15308352,744846400,946139200
1785943803,f2t3_384000,14324864,740695744,943964224
1785943805,f2t3_384000,13786176,732071808,946987072
1785943807,f2t3_384000,15245568,727444480,946434112
1785943810,f2t3_384000,16263424,723440384,942379072
1785943812,f2t3_384000,14551360,718118400,947466304
1785943814,f2t3_384000,15561344,713477376,945199168
1785943816,f2t3_384000,12953728,705675136,947890240
1785943818,f2t3_384000,12591488,701102080,949143616
1785943820,f2t3_384000,14193600,696990336,944572480
1785943822,f2t3_384000,12799488,692139712,948774976
1785943824,f2t3_384000,14083264,688039680,945696832
1785943826,f2t3_384000,15573504,683920064,943411264
1785943828,f2t3_384000,12087680,670246080,950286400
1785943830,f2t3_384000,10971072,653276224,954802240
1785943832,f2t3_384000,17503488,649484352,951300160
1785943834,f2t3_384000,11640256,635748224,0
1785943836,f2t3_384000,107096960,781568832,0
1785943838,f2t3_384000,252790080,936327296,0
1785943840,f2t3_384000,260618240,945416320,0
1785943842,f2t3_368000,297452352,1257415616,0
1785943844,f2t3_368000,469936896,1561197376,0
1785943846,f2t3_368000,492899456,1716406656,0
1785943848,f2t3_368000,492894272,1716381440,0
1785943850,f2t3_368000,492892032,1716365312,0
1785943853,f2t3_368000,492886400,1716365504,0
1785943855,f2t3_368000,492882048,1716331648,0
1785943857,f2t3_368000,492877504,1716330496,0
1785943859,f2t3_368000,492874176,1716332096,0
1785943861,f2t3_368000,492870144,1716328256,0
1785943863,f2t3_368000,492792320,1716280448,0
1785943865,f2t3_368000,492782720,1716275392,0
1785943867,f2t3_368000,492779584,1716268096,0
1785943869,f2t3_368000,492776320,1716268992,0
1785943871,f2t3_368000,492772288,1716266496,0
1785943873,f2t3_368000,492770368,1716070528,73728
1785943875,f2t3_368000,492767936,1715937792,147456
1785943877,f2t3_368000,492766528,1715853184,147456
1785943879,f2t3_368000,492763904,1715430912,608256
1785943881,f2t3_368000,492760000,1715337344,755712
1785943883,f2t3_368000,492755776,1715171136,884736
1785943885,f2t3_368000,492752320,1714973376,1142784
1785943887,f2t3_368000,492020672,1713227712,1787904
1785943889,f2t3_368000,489782976,1705832512,9469952
1785943891,f2t3_368000,488297280,1702031168,12362176
1785943893,f2t3_368000,487560960,1698876736,10832768
1785943895,f2t3_368000,486217856,1696438016,11464640
1785943898,f2t3_368000,485304512,1694415616,14518848
1785943900,f2t3_368000,485231232,1693998336,11758720
1785943902,f2t3_368000,484084416,1693188672,12307904
1785943904,f2t3_368000,483253440,1691912064,13357632
1785943906,f2t3_368000,482844160,1691377728,15849408
1785943908,f2t3_368000,482909696,1691073536,12875072
1785943910,f2t3_368000,482257664,1690736384,12786496
1785943912,f2t3_368000,482321024,1693689728,9670720
1785943914,f2t3_368000,482319104,1693717568,9670720
1785943916,f2t3_368000,482316224,1693829184,9460928
1785943918,f2t3_368000,482313728,1693945536,9460928
1785943920,f2t3_368000,482309888,1693997696,9460928
1785943922,f2t3_368000,482188608,1693957184,9460928
1785943924,f2t3_368000,485984064,1702482304,423936
1785943926,f2t3_368000,485721600,1702305920,460800
1785943928,f2t3_368000,485457536,1701908288,497664
1785943930,f2t3_368000,485465792,1701754624,608256
1785943932,f2t3_368000,485478336,1701472896,774144
1785943934,f2t3_368000,485484352,1700192064,1069056
1785943936,f2t3_368000,485486784,1699635072,1198080
1785943938,f2t3_368000,485490048,1697197504,1331200
1785943940,f2t3_368000,485491520,1695935744,1441792
1785943942,f2t3_368000,485491584,1695225536,1552384
1785943945,f2t3_368000,485493312,1694675712,1662976
1785943947,f2t3_368000,485493120,1694016768,1773568
1785943949,f2t3_368000,485495232,1693481600,1884160
1785943951,f2t3_368000,485494272,1692932288,2013184
1785943953,f2t3_368000,485496384,1692498496,2123776
1785943955,f2t3_368000,485500032,1692059520,2234368
1785943957,f2t3_368000,485502720,1691591936,2344960
1785943959,f2t3_368000,485503872,1691123008,2455552
1785943961,f2t3_368000,485504256,1690762752,2566144
1785943963,f2t3_368000,485506688,1690411520,2676736
