epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785940814,t3x364000,491995328,1717494656,0
1785940816,t3x364000,491994368,1717484480,0
1785940818,t3x364000,491995392,1717496064,0
1785940820,t3x364000,491995776,1717506048,0
1785940822,t3x364000,491996160,1717519296,0
1785940824,t3x364000,491996544,1717523136,0
1785940826,t3x364000,491997440,1717533568,0
1785940828,t3x364000,491996992,1717517504,0
1785940830,t3x364000,491997952,1717529536,0
1785940832,t3x364000,491997568,1717534144,0
1785940834,t3x364000,491998272,1717542464,0
1785940836,t3x364000,491999040,1717549504,0
1785940838,t3x364000,491999424,1717555072,0
1785940840,t3x364000,491999232,1717561600,0
1785940843,t3x364000,491999808,1717570112,0
1785940845,t3x364000,491997120,1717500096,92160
1785940847,t3x364000,491997504,1717394112,147456
1785940849,t3x364000,491998272,1717319232,165888
1785940851,t3x364000,491994112,1716985024,626688
1785940853,t3x364000,491994688,1716861504,811008
1785940855,t3x364000,491995456,1716834496,829440
1785940857,t3x364000,491232512,1715313728,1806336
1785940859,t3x364000,491186496,1715132224,2359168
1785940861,t3x364000,489232128,1706238720,8161728
1785940863,t3x364000,487204672,1702224320,10642688
1785940865,t3x364000,486005376,1699662400,11955648
1785940867,t3x364000,484816384,1697607872,15030784
1785940869,t3x364000,484741120,1697113472,12037184
1785940871,t3x364000,483909504,1696045888,12087616
1785940873,t3x364000,483284672,1694962688,13195072
1785940875,t3x364000,482629312,1693499520,15820160
1785940877,t3x364000,482656000,1693757632,12686848
1785940879,t3x364000,482202112,1693285632,12586496
1785940881,t3x364000,482294464,1696307648,9563584
1785940884,t3x364000,482295616,1696337408,9563584
1785940886,t3x364000,482279296,1696467072,9359360
1785940888,t3x364000,482280064,1696611648,9359360
1785940890,t3x364000,482277760,1696675392,9359360
1785940892,t3x364000,482196736,1696663808,9359360
1785940894,t3x364000,486259712,1705186880,479232
1785940896,t3x364000,486276672,1705281024,479232
1785940898,t3x364000,486275648,1705189312,516096
1785940900,t3x364000,486280320,1705036736,645120
1785940902,t3x364000,486284160,1704846400,829440
1785940904,t3x364000,486288192,1703622976,1142784
1785940906,t3x364000,486293184,1703159424,1216512
1785940908,t3x364000,486298816,1700165120,1297024
1785940910,t3x364000,486301888,1699435968,1426048
1785940912,t3x364000,486306624,1698768064,1536640
1785940914,t3x364000,486311360,1698151872,1647232
1785940916,t3x364000,486314816,1697599744,1757824
1785940918,t3x364000,486319424,1696930112,1868416
1785940920,t3x364000,486324224,1696385600,1997440
1785940922,t3x364000,486327424,1695808640,2108032
1785940925,t3x364000,486328960,1695399552,2218624
1785940927,t3x364000,486333952,1695097088,2329216
1785940929,t3x364000,486337600,1694752064,2439808
1785940931,t3x364000,486342592,1694376576,2550400
1785940933,t3x364000,486347392,1693936192,2660992
1785940935,t3x364000,486351808,1693584000,2771584
1785940937,t3x364000,486355840,1693255680,2882176
1785940939,t3x364000,486360320,1692968640,2992768
1785940941,t3x364000,486363200,1692561088,3103360
1785940943,t3x364000,486366656,1692180864,3213952
1785940945,t3x364000,486371456,1691662528,3324544
1785940947,t3x364000,486375680,1691182784,3435136
1785940949,t3x364000,486379200,1690708672,3545728
1785940951,t3x364000,486383680,1690599104,3656320
1785940953,t3x364000,486388096,1690323200,3766912
1785940955,t3x364000,486391360,1688401344,4371520
1785940957,t3x364000,486395968,1686222272,4736832
1785940959,t3x364000,486400768,1686327424,4751936
1785940961,t3x364000,486404608,1684557120,5082944
1785940963,t3x364000,486408512,1700252288,1253376
1785940966,t3x364000,462449280,1671040384,50438208
1785940968,t3x364000,422382464,1622236480,124950016
1785940970,t3x364000,384882176,1582489024,199352768
1785940972,t3x364000,344873344,1546390592,273325888
1785940974,t3x364000,306211392,1508211136,348799168
1785940976,t3x364000,267651712,1469645248,422662144
1785940978,t3x364000,230042368,1429881280,497059264
1785940980,t3x364000,214088384,1416191936,527263872
1785940982,t3x364000,216422144,1413369920,529889216
1785940984,t3x364000,221148416,1404933376,538446912
1785940986,t3x364000,225859520,1400955264,541712000
1785940988,t3x364000,230509312,1397604672,544995712
1785940990,t3x364000,237402048,1397719936,543704896
1785940992,t3x364000,242142400,1390915136,551025024
1785940994,t3x364000,246883264,1385465152,556391424
1785940996,t3x364000,254005376,1385844928,554967104
1785940998,t3x364000,258710528,1379532480,562434752
1785941001,t3x364000,263458368,1373648896,567782656
1785941003,t3x364000,270506944,1373207168,569339328
1785941005,t3x364000,275188480,1365222400,575975232
1785941007,t3x364000,282238592,1365705280,574606272
1785941009,t3x364000,286947008,1356698560,584212160
1785941011,t3x364000,293975808,1357210944,584451456
1785941013,t3x364000,298686592,1348345856,592456320
1785941015,t3x364000,305733568,1348065664,593796864
1785941017,t3x364000,310867200,1340595648,596062848
1785941019,t3x364000,317470144,1337161152,603569984
1785941021,t3x364000,324476928,1335549248,604357376
1785941023,t3x364000,329180928,1326842560,611930560
1785941025,t3x364000,330959680,1327064576,612575616
1785941027,t3x364000,326008064,1319886144,620512064
1785941029,t3x364000,323942912,1317814464,622652864
1785941031,t3x364000,323450688,1319550336,619142848
1785941033,t3x364000,323066944,1319178368,619142848
1785941035,t3x364000,322622720,1318740672,619142848
1785941037,t3x364000,322208256,1318334336,619142848
1785941040,t3x364000,321827584,1317954944,619142848
1785941042,t3x364000,321370304,1317506176,619142848
1785941044,t3x364000,320983936,1317124032,619142848
1785941046,t3x364000,320644608,1316789120,619142848
1785941048,t3x364000,320370752,1316516352,619142848
1785941050,t3x364000,320005568,1316155904,619142848
1785941052,t3x364000,319749632,1315902464,619142848
1785941054,t3x364000,319475840,1315630976,619142848
1785941056,t3x364000,319246656,1315404032,619142848
1785941058,t3x364000,318983104,1315143552,619142848
1785941060,t3x364000,318804160,1314968000,619142848
1785941062,t3x364000,318660800,1314827264,619142848
1785941064,t3x364000,318619968,1314789760,619142848
1785941066,t3x364000,318484864,1314661568,619142848
1785941068,t3x364000,318492992,1314672320,619142848
1785941070,t3x364000,318442112,1314627008,619142848
1785941072,t3x364000,318458368,1314645824,619142848
1785941074,t3x364000,318361216,1314548480,619142848
1785941077,t3x364000,318393920,1314585344,619142848
1785941079,t3x364000,318376448,1314569216,619142848
1785941081,t3x364000,318459136,1314656896,619142848
1785941083,t3x364000,318425408,1314625472,619142848
1785941085,t3x364000,318424064,1314636864,619142848
1785941087,t3x364000,318396032,1314602880,619142848
1785941089,t3x364000,318544000,1314752384,619142848
1785941091,t3x364000,318597632,1314807424,619142848
1785941093,t3x364000,318724992,1314937280,619142848
1785941095,t3x364000,318828224,1315043008,619142848
1785941097,t3x364000,318822528,1315044352,619142848
1785941099,t3x364000,318776960,1314998400,619142848
1785941101,t3x364000,318850112,1315072960,619142848
1785941103,t3x364000,318895296,1315108160,619142848
1785941105,t3x364000,318885568,1315113792,619142848
1785941107,t3x364000,318833216,1315067520,619142848
1785941109,t3x364000,318784384,1315018368,619142848
1785941111,t3x364000,318786112,1315021632,619142848
1785941114,t3x364000,318847104,1315088192,619142848
1785941116,t3x364000,318983744,1315225216,619142848
1785941118,t3x364000,319099840,1315345728,619142848
1785941120,t3x364000,319137408,1315385856,619142848
1785941122,t3x364000,319138880,1315387328,619142848
1785941124,t3x364000,319260672,1315510464,619142848
1785941126,t3x364000,319300224,1315556672,619142848
1785941128,t3x364000,319245184,1315504768,619142848
1785941130,t3x364000,319348096,1315611328,619142848
1785941132,t3x364000,319376832,1315641216,619142848
1785941134,t3x364000,319343040,1315601728,619142848
1785941136,t3x364000,319418944,1315688384,619142848
1785941138,t3x364000,319378752,1315651712,619142848
1785941140,t3x364000,319299008,1315584896,619511488
1785941142,t3x364000,319332928,1315477184,619972288
1785941144,t3x364000,319356288,1315338112,620396224
1785941146,t3x364000,319383232,1315302272,620746432
1785941148,t3x364000,319343488,1315121472,621244096
1785941151,t3x364000,319288192,1314874432,621815488
1785941153,t3x364000,319234880,1314668864,622423744
1785941155,t3x364000,319121024,1314412928,622866112
1785941157,t3x364000,318927296,1314235840,623566528
1785941159,t3x364000,318310272,1313839552,624193216
1785941161,t3x364000,317962688,1313689216,624635584
1785941163,t3x364000,317615040,1313537984,625151680
1785941165,t3x364000,317205696,1313299136,625575616
1785941167,t3x364000,316592576,1312909120,626276032
1785941169,t3x364000,316085888,1312641664,626939584
1785941171,t3x364000,315571648,1312295232,627455680
1785941173,t3x364000,314992256,1311921728,628027072
1785941175,t3x364000,314517888,1311645504,628524736
1785941177,t3x364000,313964032,1311277824,629188288
1785941179,t3x364000,313535680,1311036288,629833408
1785941181,t3x364000,313122624,1310867456,630312640
1785941183,t3x364000,312680640,1310623552,630865600
1785941186,t3x364000,312193280,1310306496,631381696
1785941188,t3x364000,311617984,1309943360,627343104
1785941190,t3x364000,311161920,1309645888,627785472
1785941192,t3x364000,310909120,1309520896,628043520
1785941194,t3x364000,310492800,1309279872,628467456
1785941196,t3x364000,310148096,1309087616,628928256
1785941198,t3x364000,309789504,1308873024,629333760
1785941200,t3x364000,309531392,1308762432,629776128
1785941202,t3x364000,309242432,1308584064,630015744
1785941204,t3x364000,308833152,1308341952,630605568
1785941206,t3x364000,308608128,1308231872,630900480
1785941208,t3x364000,308143680,1307930752,631361280
1785941210,t3x364000,307753856,1307750016,631822080
1785941212,t3x364000,307403456,1307515264,632319744
1785941214,t3x364000,307047040,1307284288,632725248
1785941216,t3x364000,306604800,1307016960,633149184
1785941218,t3x364000,306139456,1306750784,633683712
1785941221,t3x364000,305662976,1306473024,634236672
1785941223,t3x364000,305177856,1306212608,634900224
1785941225,t3x364000,304655104,1305916416,635545344
1785941227,t3x364000,304251648,1305726656,636061440
1785941229,t3x364000,303687936,1305369024,636706560
