epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785944681,f2t3_352000,492346688,1719919296,0
1785944683,f2t3_352000,492346560,1719883840,0
1785944685,f2t3_352000,492347648,1719883008,0
1785944687,f2t3_352000,492348160,1719846464,0
1785944689,f2t3_352000,492348544,1719835328,0
1785944691,f2t3_352000,492348416,1719790400,0
1785944693,f2t3_352000,492348672,1719729280,0
1785944695,f2t3_352000,492347712,1719727168,0
1785944697,f2t3_352000,492348672,1719723392,0
1785944699,f2t3_352000,492348864,1719692864,0
1785944701,f2t3_352000,492349824,1719689024,0
1785944703,f2t3_352000,492341632,1719678208,0
1785944705,f2t3_352000,492342656,1719654080,0
1785944707,f2t3_352000,492341120,1719647744,0
1785944709,f2t3_352000,492341120,1719643328,0
1785944711,f2t3_352000,492342464,1719437248,73728
1785944713,f2t3_352000,492343232,1719347328,110592
1785944715,f2t3_352000,492344384,1719307392,129024
1785944717,f2t3_352000,492344768,1718886528,571392
1785944719,f2t3_352000,492345856,1718802816,755712
1785944721,f2t3_352000,492346560,1718271936,1161216
1785944724,f2t3_352000,492346816,1717297280,1898496
1785944726,f2t3_352000,492347392,1717806848,479232
1785944728,f2t3_352000,492349312,1717415808,479232
1785944730,f2t3_352000,492350400,1716914048,516096
1785944732,f2t3_352000,492352512,1716397504,681984
1785944734,f2t3_352000,492354048,1715999040,884736
1785944736,f2t3_352000,492354880,1714691392,1105920
1785944738,f2t3_352000,492356096,1710927360,1216512
1785944740,f2t3_352000,492326528,1709381888,1261440
1785944742,f2t3_352000,492327872,1708442304,1390464
1785944744,f2t3_352000,492329024,1707692096,1501056
1785944746,f2t3_352000,492318272,1706954432,1611648
1785944748,f2t3_352000,492320064,1706296000,1722240
1785944750,f2t3_352000,492321280,1705602496,1832832
1785944752,f2t3_352000,492323200,1704945152,1943424
1785944754,f2t3_352000,492324416,1704514688,2054016
1785944756,f2t3_352000,492318464,1704038336,2164608
1785944758,f2t3_352000,492320000,1703691008,2256768
1785944760,f2t3_352000,492321024,1703232640,2385792
1785944762,f2t3_352000,492320640,1702715648,2477952
1785944765,f2t3_352000,492320896,1702160000,2588544
1785944767,f2t3_352000,492321472,1701862016,2699136
1785944769,f2t3_352000,492322048,1701408768,2809728
1785944771,f2t3_352000,492323712,1700982528,2920320
1785944773,f2t3_352000,492324672,1700524992,3030912
1785944775,f2t3_352000,492325376,1700080832,3141504
1785944777,f2t3_352000,492326656,1699609664,3252096
