epoch,phase,node0_memfree_kb,global_memavailable_kb,top_rss_kb
1785945407,f3t3_352000,492494976,1719153920,0
1785945409,f3t3_352000,492490944,1719134208,0
1785945411,f3t3_352000,492493888,1719198080,0
1785945413,f3t3_352000,492497152,1719183936,0
1785945415,f3t3_352000,492498496,1719180864,0
1785945417,f3t3_352000,492500032,1719178944,0
1785945419,f3t3_352000,492500608,1719159360,0
1785945421,f3t3_352000,492502912,1719155776,0
1785945423,f3t3_352000,492504064,1719154048,0
1785945425,f3t3_352000,492505600,1719105088,0
1785945427,f3t3_352000,492506944,1719094080,0
1785945429,f3t3_352000,492508480,1719075840,0
1785945431,f3t3_352000,492504128,1719067968,0
1785945433,f3t3_352000,492505280,1719068352,0
1785945435,f3t3_352000,492506240,1719083904,0
1785945437,f3t3_352000,492508160,1718908416,73728
1785945439,f3t3_352000,492510272,1718778816,147456
1785945441,f3t3_352000,492514688,1718694080,147456
1785945443,f3t3_352000,492515968,1718279808,608256
1785945445,f3t3_352000,492518272,1718067584,792576
1785945447,f3t3_352000,492432064,1717614592,1124352
1785945449,f3t3_352000,492433024,1716575552,1916928
1785945452,f3t3_352000,492435584,1717324480,460800
1785945454,f3t3_352000,492440192,1716968896,479232
1785945456,f3t3_352000,492445824,1716489600,516096
1785945458,f3t3_352000,492451264,1716161600,681984
1785945460,f3t3_352000,492459648,1715871360,884736
1785945462,f3t3_352000,492465984,1714860224,1161216
1785945464,f3t3_352000,492471680,1712017152,1198080
1785945466,f3t3_352000,492478912,1710475840,1242432
1785945468,f3t3_352000,492484416,1709755584,1371456
1785945470,f3t3_352000,492490432,1708914752,1500480
1785945472,f3t3_352000,492496576,1708262016,1611072
1785945474,f3t3_352000,492502848,1707465984,1721664
1785945476,f3t3_352000,492509184,1706675392,1832256
1785945478,f3t3_352000,492508416,1705863744,1942848
1785945480,f3t3_352000,492514688,1705184448,2053440
1785945482,f3t3_352000,492520768,1704574272,2164032
1785945484,f3t3_352000,492525952,1703982784,2274624
1785945486,f3t3_352000,492532096,1703375040,2403648
1785945488,f3t3_352000,492537536,1702939520,2514240
1785945490,f3t3_352000,492542720,1702407680,2624832
1785945492,f3t3_352000,492542336,1701918208,2735424
1785945495,f3t3_352000,492547328,1701485440,2846016
1785945497,f3t3_352000,492552128,1701094912,2956608
1785945499,f3t3_352000,492557888,1700664064,3067200
1785945501,f3t3_352000,492562880,1700163008,3177792
1785945503,f3t3_352000,492568256,1699779008,3288384
1785945505,f3t3_352000,492573696,1699266432,3398976
1785945507,f3t3_352000,492578304,1698836096,3509568
1785945509,f3t3_352000,492583296,1698028928,3933504
1785945511,f3t3_352000,492586752,1695226176,4464256
1785945513,f3t3_352000,492591168,1694740992,4531200
1785945515,f3t3_352000,492596224,1693861376,4875456
1785945517,f3t3_352000,492601280,1699811456,1203520
1785945519,f3t3_352000,481483968,1697379392,21321600
1785945521,f3t3_352000,441189376,1642800576,92271616
1785945523,f3t3_352000,402454656,1603725824,166771456
1785945525,f3t3_352000,363910912,1563971904,241605184
1785945527,f3t3_352000,325554368,1524676352,317405120
1785945529,f3t3_352000,286740928,1487198208,392839616
1785945532,f3t3_352000,247147200,1447660544,468201472
1785945534,f3t3_352000,216582464,1418536768,527039936
1785945536,f3t3_352000,216168704,1413903424,531279296
1785945538,f3t3_352000,222870336,1412090688,532050752
1785945540,f3t3_352000,227351104,1408606848,536753600
1785945542,f3t3_352000,231936128,1401892352,542875840
1785945544,f3t3_352000,236425664,1396441280,548150080
1785945546,f3t3_352000,243335680,1396905984,547075904
1785945548,f3t3_352000,248066944,1390071552,554285504
1785945550,f3t3_352000,252841920,1384475328,559633472
1785945552,f3t3_352000,259958208,1384976128,558540864
1785945554,f3t3_352000,264683648,1376078144,567907008
1785945556,f3t3_352000,271793792,1376489664,566519360
1785945558,f3t3_352000,276577856,1369811904,574005568
1785945560,f3t3_352000,281352320,1364454848,574627072
1785945562,f3t3_352000,288385472,1361469952,582131712
1785945564,f3t3_352000,295384640,1359756224,582903680
1785945566,f3t3_352000,300147456,1353072640,590408192
1785945569,f3t3_352000,307281536,1351417024,591158848
1785945571,f3t3_352000,312042112,1342708864,600782976
1785945573,f3t3_352000,319149760,1339878016,603653248
1785945575,f3t3_352000,326200576,1338506688,604342720
1785945577,f3t3_352000,330931648,1329606144,613893184
1785945579,f3t3_352000,334472832,1330011712,613685248
1785945581,f3t3_352000,330617664,1326542144,615738816
1785945583,f3t3_352000,326181632,1319661632,623693632
1785945585,f3t3_352000,328362688,1323934016,619025472
1785945587,f3t3_352000,328343872,1323712640,619025472
1785945589,f3t3_352000,328370176,1323465728,619025472
1785945591,f3t3_352000,328390336,1323193536,619025472
1785945593,f3t3_352000,328418368,1323006656,619025472
1785945595,f3t3_352000,328443584,1322819136,619025472
1785945597,f3t3_352000,328449152,1322551936,619025472
1785945599,f3t3_352000,328492544,1322361536,619025472
1785945601,f3t3_352000,328521152,1322247936,619025472
1785945603,f3t3_352000,328529600,1322077312,619025472
1785945605,f3t3_352000,328376896,1321885824,619025472
1785945607,f3t3_352000,328171136,1321681920,619043904
1785945609,f3t3_352000,328086656,1321611520,619043904
1785945611,f3t3_352000,327834240,1321346944,619043904
1785945614,f3t3_352000,327584448,1321099008,619043904
1785945616,f3t3_352000,327319104,1320837568,619043904
1785945618,f3t3_352000,327035200,1320547904,619043904
1785945620,f3t3_352000,326814912,1320329792,619043904
1785945622,f3t3_352000,326618048,1320134976,619043904
1785945624,f3t3_352000,326416384,1319934656,619043904
1785945626,f3t3_352000,326135680,1319654592,619043904
1785945628,f3t3_352000,325883072,1319392448,619043904
1785945630,f3t3_352000,325643520,1319156992,619043904
1785945632,f3t3_352000,325318784,1318834112,619043904
1785945634,f3t3_352000,325055808,1318571904,619043904
1785945636,f3t3_352000,324753600,1318269824,619043904
1785945638,f3t3_352000,324497280,1318016384,619043904
1785945640,f3t3_352000,324327360,1317849280,619043904
1785945642,f3t3_352000,324220352,1317746752,619043904
1785945644,f3t3_352000,324125312,1317642240,619043904
1785945646,f3t3_352000,324038272,1317556352,619043904
1785945648,f3t3_352000,323950848,1317470336,619043904
1785945650,f3t3_352000,323910016,1317429568,619043904
1785945652,f3t3_352000,323888384,1317410048,619043904
1785945654,f3t3_352000,323931136,1317453760,619043904
1785945656,f3t3_352000,323889344,1317413504,619043904
1785945658,f3t3_352000,323812736,1317337472,619043904
1785945660,f3t3_352000,323840704,1317359232,619043904
1785945662,f3t3_352000,324010624,1317530560,619043904
1785945664,f3t3_352000,324158464,1317680960,619043904
1785945667,f3t3_352000,324243584,1317766848,619043904
1785945669,f3t3_352000,324350336,1317875520,619043904
1785945671,f3t3_352000,324380352,1317905984,619043904
1785945673,f3t3_352000,324425216,1317976576,619043904
1785945675,f3t3_352000,324442880,1317962112,619043904
1785945677,f3t3_352000,324389248,1317915392,619043904
1785945679,f3t3_352000,324438016,1317960320,619043904
1785945681,f3t3_352000,324421504,1317945920,619043904
1785945683,f3t3_352000,324414080,1317939008,619043904
1785945685,f3t3_352000,324398080,1317924160,619043904
1785945687,f3t3_352000,324353600,1317880512,619043904
1785945689,f3t3_352000,324327232,1317843136,619043904
1785945691,f3t3_352000,324300672,1317823616,619043904
1785945693,f3t3_352000,324284928,1317808256,619043904
1785945695,f3t3_352000,324249472,1317773824,619043904
1785945697,f3t3_352000,324270464,1317842496,619265088
1785945699,f3t3_352000,324033920,1317694144,619725888
1785945701,f3t3_352000,323914880,1317641152,619799616
1785945703,f3t3_352000,323617024,1317509184,620241984
1785945705,f3t3_352000,323374208,1317392640,620684352
1785945707,f3t3_352000,323073920,1317304320,621126720
1785945709,f3t3_352000,322677120,1317067456,621661248
1785945711,f3t3_352000,322283008,1316838400,622195776
1785945713,f3t3_352000,321733120,1316509952,622840896
1785945716,f3t3_352000,321219072,1316214080,623356992
1785945718,f3t3_352000,320804288,1316005632,624131136
1785945720,f3t3_352000,320469824,1315866816,624591936
1785945722,f3t3_352000,320001344,1315568576,625015872
1785945724,f3t3_352000,319580032,1315323776,625439808
1785945726,f3t3_352000,319017280,1314974336,626140224
1785945728,f3t3_352000,318627904,1314754304,626545728
1785945730,f3t3_352000,318049408,1314411200,627319872
1785945732,f3t3_352000,317613120,1314185856,627817536
1785945734,f3t3_352000,317138688,1313886528,628241472
1785945736,f3t3_352000,316649408,1313552000,628776000
1785945738,f3t3_352000,315967424,1313115904,629457984
1785945740,f3t3_352000,315639040,1312946304,630010944
1785945742,f3t3_352000,315111680,1312644736,630729792
1785945744,f3t3_352000,314694464,1312472512,631153728
1785945746,f3t3_352000,314275776,1312192704,631651392
1785945748,f3t3_352000,313900480,1311989376,627393920
1785945750,f3t3_352000,313366976,1311612288,627780992
1785945752,f3t3_352000,312950656,1311328192,628370816
1785945754,f3t3_352000,312697600,1311179264,628555136
1785945757,f3t3_352000,312378112,1310985024,628721024
1785945759,f3t3_352000,311911104,1310682624,629144960
1785945761,f3t3_352000,311571584,1310493184,629661056
1785945763,f3t3_352000,311160256,1310238528,630140288
1785945765,f3t3_352000,310814656,1309986432,630398336
1785945767,f3t3_352000,310348416,1309655168,630803840
1785945769,f3t3_352000,310032896,1309471488,631172480
1785945771,f3t3_352000,309575360,1309170624,631577984
1785945773,f3t3_352000,309132800,1308873344,632038784
1785945775,f3t3_352000,308751680,1308637440,632444288
1785945777,f3t3_352000,308389312,1308387136,632757632
1785945779,f3t3_352000,307797568,1308011136,633531776
1785945781,f3t3_352000,307299264,1307727872,633955712
1785945783,f3t3_352000,306861312,1307474432,634471808
1785945785,f3t3_352000,306241216,1307077184,635209088
1785945787,f3t3_352000,305636352,1306700928,635817344
1785945789,f3t3_352000,305123520,1306392384,636278144
1785945791,f3t3_352000,304659776,1306093568,636757376
1785945793,f3t3_352000,303996544,1305652800,637439360
1785945795,f3t3_352000,303285760,1305184576,638121344
1785945798,f3t3_352000,302713984,1304827776,638711168
1785945800,f3t3_352000,302173696,1304449408,639153536
1785945802,f3t3_352000,301657216,1304157632,639890816
1785945804,f3t3_352000,301243264,1303915456,635643968
1785945806,f3t3_352000,301029248,1303830144,635957312
1785945808,f3t3_352000,300043840,1300517056,635008448
1785945810,f3t3_352000,300075136,1300379712,636593856
1785945812,f3t3_352000,289471360,1288423744,649625280
1785945814,f3t3_352000,272552896,1268522944,669162624
1785945816,f3t3_352000,271927296,1266518912,669328512
1785945818,f3t3_352000,270763200,1235924288,670667840
1785945820,f3t3_352000,262905152,1186038656,676750400
1785945822,f3t3_352000,257922624,1167432512,681745472
1785945824,f3t3_352000,249501440,1154825600,689413184
1785945826,f3t3_352000,244968896,1150299840,693597248
1785945828,f3t3_352000,240362624,1145680000,697818176
1785945830,f3t3_352000,233229440,1138528832,704969792
1785945832,f3t3_352000,227021888,1132339008,710425664
1785945834,f3t3_352000,222705152,1128017024,714646592
1785945837,f3t3_352000,217875904,1123182400,719696960
1785945839,f3t3_352000,211710144,1117021952,725595200
1785945841,f3t3_352000,205223872,1110542464,731493440
1785945843,f3t3_352000,200780800,1106092160,735695936
1785945845,f3t3_352000,195210176,1100511936,741317696
1785945847,f3t3_352000,187619328,1092934720,748340288
1785945849,f3t3_352000,183223232,1088541056,752524352
1785945851,f3t3_352000,178477120,1083784832,757371968
1785945853,f3t3_352000,169921792,1075243200,765168704
1785945855,f3t3_352000,165491264,1070802496,769352768
1785945857,f3t3_352000,161014720,1066329024,773721152
1785945859,f3t3_352000,152374528,1057694912,782015552
1785945861,f3t3_352000,147888832,1053210624,786199616
1785945863,f3t3_352000,147138624,1052448896,787047488
1785945865,f3t3_352000,139195584,1044519232,794623040
1785945867,f3t3_352000,134835328,1040160640,798807104
1785945869,f3t3_352000,130350464,1031452096,803028032
1785945871,f3t3_352000,121639744,1022746048,811451456
1785945873,f3t3_352000,117190848,1018282368,815653952
1785945876,f3t3_352000,112633088,1013726528,819893312
1785945878,f3t3_352000,104110016,1005206464,828298304
1785945880,f3t3_352000,99703104,1000790080,832500800
1785945882,f3t3_352000,95351744,996451968,836721728
1785945884,f3t3_352000,86812992,987915392,845126720
1785945886,f3t3_352000,82658048,983762304,849329216
1785945888,f3t3_352000,78615936,979721216,853550144
1785945890,f3t3_352000,70798272,971893760,861789248
1785945892,f3t3_352000,66160704,967271680,866157632
1785945894,f3t3_352000,61874624,962982208,870396992
1785945896,f3t3_352000,54833344,955933760,877861952
1785945898,f3t3_352000,49329664,950440448,883022912
1785945900,f3t3_352000,45160320,946272384,887243840
1785945902,f3t3_352000,38872384,939962176,893934656
1785945904,f3t3_352000,32710784,933806144,899851328
1785945906,f3t3_352000,32528384,933642624,899851328
1785945908,f3t3_352000,25649920,926742208,907113536
1785945910,f3t3_352000,19653568,920764352,912458816
1785945912,f3t3_352000,15186496,912083200,916679744
1785945914,f3t3_352000,13368960,909858688,922227776
1785945916,f3t3_352000,11379648,905992960,929176640
1785945919,f3t3_352000,12996480,907421952,933526592
1785945921,f3t3_352000,9980992,907842560,937729088
1785945923,f3t3_352000,12015424,901526400,944032832
1785945925,f3t3_352000,9892864,897839296,948290624
1785945927,f3t3_352000,9923584,897889536,948290624
1785945929,f3t3_352000,9926592,897895168,948290624
1785945931,f3t3_352000,12326912,897922112,948290624
1785945933,f3t3_352000,12061504,895725760,950336576
1785945935,f3t3_352000,17566720,891504768,944751680
1785945937,f3t3_352000,15639680,886313664,946152512
1785945939,f3t3_352000,12243008,878162368,949949504
1785945941,f3t3_352000,12433664,874355776,950152256
