name,available,data_bytes,rss_bytes,rss_peak_bytes,source,stack_bytes,virtual_memory_bytes,avg_process_rss_delta_bytes,avg_process_rss_end_bytes,avg_process_rss_start_bytes,avg_process_virtual_memory_delta_bytes,avg_process_virtual_memory_end_bytes,avg_process_virtual_memory_start_bytes,max_process_rss_end_bytes,max_process_rss_peak_end_bytes,max_process_virtual_memory_end_bytes,process_rss_pre_step_overhead_delta_bytes,process_rss_delta_bytes
report,True,156613279744,219013054464,220406284288,/proc/self/status,458752,749051510784,,,,,,,,,,,
lf.data.next,,,,,,,,0.0,219101855744.0,219101855744.0,0.0,748984532992.0,748984532992.0,219101855744,220406284288,748984532992,,
lf.grad_clip,,,,,,,,0.0,220239167488.0,220239167488.0,0.0,748985581568.0,748985581568.0,220239167488,220406284288,748985581568,,
lf.inputs.prepare,,,,,,,,0.0,219101855744.0,219101855744.0,0.0,748984532992.0,748984532992.0,219101855744,220406284288,748984532992,,
lf.log_save_eval,,,,,,,,0.0,219013054464.0,219013054464.0,0.0,748985581568.0,748985581568.0,219013054464,220406284288,748985581568,,
lf.optimizer.step,,,,,,,,-1234651428.5714285,216114462720.0,217349114148.57144,0.0,748984551716.5714,748984551716.5714,219101855744,220406284288,748985581568,,
lf.scheduler.step,,,,,,,,0.0,219013054464.0,219013054464.0,0.0,748985581568.0,748985581568.0,219013054464,220406284288,748985581568,,
lf.step.total,,,,,,,,1137311744.0,220239167488.0,219101855744.0,0.0,748984532992.0,748984532992.0,220239167488,220406284288,748984532992,,
step.backward,,,,,,,,1126629376.0,220239167488.0,219112538112.0,0.0,748984532992.0,748984532992.0,220239167488,220406284288,748984532992,,
step.forward,,,,,,,,10682368.0,219112538112.0,219101855744.0,0.0,748984532992.0,748984532992.0,219112538112,220406284288,748984532992,,
optimizer_step_start,True,156613345280,220239167488,220406284288,/proc/self/status,458752,748985581568,,,,,,,,,,0,
optimizer_step_before,True,156613345280,220239167488,220406284288,/proc/self/status,458752,748985581568,,,,,,,,,,0,
optimizer_step_after,True,156613345280,219013054464,220406284288,/proc/self/status,458752,748985581568,,,,,,,,,,,-1226113024
