backward_allocated_delta_bytes,backward_allocated_end_bytes,backward_allocated_start_bytes,backward_global_peak_allocated_after_bytes,backward_global_peak_reserved_after_bytes,backward_milliseconds,backward_peak_allocated_bytes,backward_peak_allocated_delta_bytes,backward_peak_reserved_bytes,backward_peak_reserved_delta_bytes,backward_process_rss_delta_bytes,backward_process_rss_end_bytes,backward_process_rss_peak_end_bytes,backward_process_rss_start_bytes,backward_process_virtual_memory_delta_bytes,backward_process_virtual_memory_end_bytes,backward_process_virtual_memory_start_bytes,backward_reserved_delta_bytes,backward_reserved_end_bytes,backward_reserved_start_bytes,backward_reserved_unallocated_bytes,forward_allocated_delta_bytes,forward_allocated_end_bytes,forward_allocated_start_bytes,forward_backward_milliseconds,forward_global_peak_allocated_after_bytes,forward_global_peak_reserved_after_bytes,forward_milliseconds,forward_peak_allocated_bytes,forward_peak_allocated_delta_bytes,forward_peak_reserved_bytes,forward_peak_reserved_delta_bytes,forward_process_rss_delta_bytes,forward_process_rss_end_bytes,forward_process_rss_peak_end_bytes,forward_process_rss_start_bytes,forward_process_virtual_memory_delta_bytes,forward_process_virtual_memory_end_bytes,forward_process_virtual_memory_start_bytes,forward_reserved_delta_bytes,forward_reserved_end_bytes,forward_reserved_start_bytes,forward_reserved_unallocated_bytes,heartbeat_dataloader_fetch_milliseconds,heartbeat_optimizer_step_milliseconds,heartbeat_training_step_milliseconds,is_warmup,loss,measured_step,optimizer_update_side_milliseconds,peak_allocated_hbm_bytes,peak_reserved_hbm_bytes,process_rss_end_bytes,process_rss_peak_bytes,profiled_training_step_milliseconds,raw_step,reserved_unallocated_bytes,step,step_milliseconds,step_milliseconds_source,trainer_e2e_end_seconds,trainer_e2e_end_source,trainer_e2e_start_seconds,trainer_e2e_step_milliseconds,trainer_elapsed_seconds,training_step_allocated_delta_bytes,training_step_allocated_end_bytes,training_step_allocated_start_bytes,training_step_global_peak_allocated_after_bytes,training_step_global_peak_reserved_after_bytes,training_step_milliseconds,training_step_peak_allocated_bytes,training_step_peak_allocated_delta_bytes,training_step_peak_reserved_bytes,training_step_peak_reserved_delta_bytes,training_step_process_rss_delta_bytes,training_step_process_rss_end_bytes,training_step_process_rss_peak_end_bytes,training_step_process_rss_start_bytes,training_step_process_virtual_memory_delta_bytes,training_step_process_virtual_memory_end_bytes,training_step_process_virtual_memory_start_bytes,training_step_reserved_delta_bytes,training_step_reserved_end_bytes,training_step_reserved_start_bytes,training_step_reserved_unallocated_bytes
-19841556992,13842058752,33683615744,73512464896,84502642688,168677.74573003408,73512464896,39828849152,84502642688,19901972480,7621640192,180029227008,213833678848,172407586816,6979452928,733194813440,726215360512,19901972480,84502642688,64600670208,10990177792,26932094976,33683615744,6751520768,238953.72318394948,63689929728,64600670208,70275.9774539154,63689929728,56938408960,64600670208,44270878720,1642070016,172407586816,213833678848,170765516800,1738866688,726213984256,724475117568,44270878720,64600670208,20329791488,910740480,223.41799999999523,4765.999000000022,239068.853,True,1.6601461172103882,0,5371.185816050507,73512464896,84502642688,180029227008,213833678848,239026.02583391126,1,10990177792,1,244324.90899999999,heartbeat_dataloader_interval,334.100625,next_dataloader_batch_fetch_start,89.775716,244324.90899999999,334.100625,6817842688,13569363456,6751520768,73512464896,84502642688,239026.02583391126,73512464896,66760944128,84502642688,64172851200,9263710208,180029227008,213833678848,170765516800,8719695872,733194813440,724475117568,64172851200,84502642688,20329791488,10990177792
-19875111424,13842059776,33717171200,73546020352,85215674368,107386.46312290803,73546020352,39828849152,85215674368,713031680,1129054208,212961787904,213833678848,211832733696,0,748983681024,748983681024,713031680,85215674368,84502642688,11669654016,26898539520,33717171200,6818631680,112644.528991892,63723485184,84502642688,5258.0658689839765,63723485184,56904853504,84502642688,0,226492416,211832733696,213833678848,211606241280,0,748983681024,748983681024,0,84502642688,84502642688,20779157504,3.1510000000025684,996.7179999999871,112750.38100000001,True,1.711002230644226,0,1353.495008108046,73546020352,85215674368,212961787904,213833678848,112717.59445802309,2,11669654016,2,113998.02400000005,heartbeat_dataloader_interval,448.098649,next_dataloader_batch_fetch_start,334.100625,113998.02400000005,448.098649,6750732800,13569364480,6818631680,73546020352,85215674368,112717.59445802309,73546020352,66727388672,85215674368,713031680,1355546624,212961787904,213833678848,211606241280,0,748983681024,748983681024,713031680,85215674368,84502642688,11669654016
-19875111424,13842059776,33717171200,73546020352,85215674368,103942.0113459928,73546020352,39828849152,85215674368,0,1395458048,213229502464,213833678848,211834044416,0,748983681024,748983681024,0,85215674368,85215674368,11669654016,26898539520,33717171200,6818631680,105888.22897605132,63723485184,85215674368,1946.217630058527,63723485184,56904853504,85215674368,0,70975488,211834044416,213833678848,211763068928,0,748983681024,748983681024,0,85215674368,85215674368,21492189184,3.872999999998683,993.6599999999771,105967.83599999998,True,1.8473228216171265,0,1325.412023948622,73546020352,85215674368,213229502464,213833678848,105932.23891197704,3,11669654016,3,107213.64099999995,heartbeat_dataloader_interval,555.31229,next_dataloader_batch_fetch_start,448.098649,107213.64099999995,555.31229,6750732800,13569364480,6818631680,73546020352,85215674368,105932.23891197704,73546020352,66727388672,85215674368,0,1466433536,213229502464,213833678848,211763068928,0,748983681024,748983681024,0,85215674368,85215674368,11669654016
-19875111424,13842059776,33717171200,73546020352,85215674368,104183.86319302954,73546020352,39828849152,85215674368,0,1378353152,213461696512,213833678848,212083343360,0,748983877632,748983877632,0,85215674368,85215674368,11669654016,26898539520,33717171200,6818631680,106112.78699105605,63723485184,85215674368,1928.923798026517,63723485184,56904853504,85215674368,0,61734912,212083343360,213833678848,212021608448,0,748983877632,748983877632,0,85215674368,85215674368,21492189184,3.435000000081345,1003.1490000000076,106189.41300000006,True,1.8113154172897339,0,1328.1130089439976,73546020352,85215674368,213461696512,213833678848,106155.14041495044,4,11669654016,4,107440.90000000005,heartbeat_dataloader_interval,662.75319,next_dataloader_batch_fetch_start,555.31229,107440.90000000005,662.75319,6750732800,13569364480,6818631680,73546020352,85215674368,106155.14041495044,73546020352,66727388672,85215674368,0,1440088064,213461696512,213833678848,212021608448,0,748983877632,748983877632,0,85215674368,85215674368,11669654016
-19875111424,13842059776,33717171200,73546020352,85215674368,107710.05584695376,73546020352,39828849152,85215674368,0,7522746368,220406284288,220406284288,212883537920,0,748984532992,748984532992,0,85215674368,85215674368,11669654016,26898539520,33717171200,6818631680,113194.88971994724,63723485184,85215674368,5484.833872993477,63723485184,56904853504,85215674368,0,608632832,212883537920,213833678848,212274905088,0,748983877632,748983877632,0,85215674368,85215674368,21492189184,3.9339999999583597,1013.8070000000425,113310.25,True,1.536679983139038,0,1373.2962800527312,73546020352,85215674368,220406284288,220406284288,113273.3741949778,5,11669654016,5,114568.18599999997,heartbeat_dataloader_interval,777.321376,next_dataloader_batch_fetch_start,662.75319,114568.18599999997,777.321376,6750732800,13569364480,6818631680,73546020352,85215674368,113273.3741949778,73546020352,66727388672,85215674368,0,8131379200,220406284288,220406284288,212274905088,655360,748984532992,748983877632,0,85215674368,85215674368,11669654016
-19875111424,13842059776,33717171200,73546020352,85215674368,103929.74186199717,73546020352,39828849152,85215674368,0,1126629376,220239167488,220406284288,219112538112,0,748984532992,748984532992,0,85215674368,85215674368,11669654016,26898539520,33717171200,6818631680,105891.59427699633,63723485184,85215674368,1961.8524149991572,63723485184,56904853504,85215674368,0,10682368,219112538112,220406284288,219101855744,0,748984532992,748984532992,0,85215674368,85215674368,21492189184,3.642000000013468,997.6500000000215,105969.07399999998,False,1.5764399766921997,1,1399.2617230036267,73546020352,85215674368,220239167488,220406284288,105935.26760488749,6,11669654016,1,107290.85599999996,heartbeat_dataloader_interval,884.612232,trainer_end,777.321376,107290.85599999996,884.612232,6750732800,13569364480,6818631680,73546020352,85215674368,105935.26760488749,73546020352,66727388672,85215674368,0,1137311744,220239167488,220406284288,219101855744,0,748984532992,748984532992,0,85215674368,85215674368,11669654016
