avg_allocated_delta_bytes,avg_allocated_end_bytes,avg_allocated_start_bytes,avg_peak_allocated_bytes,avg_peak_allocated_delta_bytes,avg_peak_reserved_bytes,avg_peak_reserved_delta_bytes,avg_process_rss_delta_bytes,avg_process_rss_end_bytes,avg_process_rss_start_bytes,avg_process_virtual_memory_delta_bytes,avg_process_virtual_memory_end_bytes,avg_process_virtual_memory_start_bytes,avg_reserved_delta_bytes,avg_reserved_end_bytes,avg_reserved_start_bytes,avg_reserved_unallocated_bytes,max_global_peak_allocated_after_bytes,max_global_peak_reserved_after_bytes,max_peak_allocated_bytes,max_peak_reserved_bytes,max_process_rss_end_bytes,max_process_rss_peak_end_bytes,max_process_virtual_memory_end_bytes,name,raw_samples,samples,warmup_samples_skipped
786432.0,6819418112.0,6818631680.0,6819418112.0,786432.0,85215674368.0,0.0,0.0,219101855744.0,219101855744.0,0.0,748984532992.0,748984532992.0,0.0,85215674368.0,85215674368.0,78396256256.0,6819418112,85215674368,6819418112,85215674368,219101855744,220406284288,748984532992,lf.data.next,6,1,5
512.0,13569363968.0,13569363456.0,13570395648.0,1032192.0,85215674368.0,0.0,0.0,220239167488.0,220239167488.0,0.0,748985581568.0,748985581568.0,0.0,85215674368.0,85215674368.0,71645278720.0,13570395648,85215674368,13570395648,85215674368,220239167488,220406284288,748985581568,lf.grad_clip,6,1,5
0.0,6818631680.0,6818631680.0,6818631680.0,0.0,85215674368.0,0.0,0.0,219101855744.0,219101855744.0,0.0,748984532992.0,748984532992.0,0.0,85215674368.0,85215674368.0,78397042688.0,6818631680,85215674368,6818631680,85215674368,219101855744,220406284288,748984532992,lf.inputs.prepare,6,1,5
0.0,6818631680.0,6818631680.0,6818631936.0,256.0,85215674368.0,0.0,0.0,219013054464.0,219013054464.0,0.0,748985581568.0,748985581568.0,0.0,85215674368.0,85215674368.0,78397042432.0,6818632192,85215674368,6818632192,85215674368,219013054464,220406284288,748985581568,lf.log_save_eval,7,2,5
0.0,13569363968.0,13569363968.0,13636472832.0,67108864.0,85215674368.0,0.0,-1234651428.5714285,216114462720.0,217349114148.57144,0.0,748984551716.5714,748984551716.5714,0.0,85215674368.0,85215674368.0,71579201536.0,13636472832,85215674368,13636472832,85215674368,219101855744,220406284288,748985581568,lf.optimizer.step,12,7,5
0.0,13569363968.0,13569363968.0,13569363968.0,0.0,85215674368.0,0.0,0.0,219013054464.0,219013054464.0,0.0,748985581568.0,748985581568.0,0.0,85215674368.0,85215674368.0,71646310400.0,13569363968,85215674368,13569363968,85215674368,219013054464,220406284288,748985581568,lf.scheduler.step,6,1,5
6750732800.0,13569364480.0,6818631680.0,73546020352.0,66727388672.0,85215674368.0,0.0,1137311744.0,220239167488.0,219101855744.0,0.0,748984532992.0,748984532992.0,0.0,85215674368.0,85215674368.0,11669654016.0,73546020352,85215674368,73546020352,85215674368,220239167488,220406284288,748984532992,lf.step.total,6,1,5
-19875111424.0,13842059776.0,33717171200.0,73546020352.0,39828849152.0,85215674368.0,0.0,1126629376.0,220239167488.0,219112538112.0,0.0,748984532992.0,748984532992.0,0.0,85215674368.0,85215674368.0,11669654016.0,73546020352,85215674368,73546020352,85215674368,220239167488,220406284288,748984532992,step.backward,6,1,5
26898539520.0,33717171200.0,6818631680.0,63723485184.0,56904853504.0,85215674368.0,0.0,10682368.0,219112538112.0,219101855744.0,0.0,748984532992.0,748984532992.0,0.0,85215674368.0,85215674368.0,21492189184.0,63723485184,85215674368,63723485184,85215674368,219112538112,220406284288,748984532992,step.forward,6,1,5
