stage,host_milliseconds,samples
lf.data.next,0.8804799290373921,1
lf.grad_clip,5.865634069778025,1
lf.inputs.prepare,0.43087999802082777,1
lf.log_save_eval,10.878659959416837,2
lf.optimizer.step,1008.1928644628663,7
lf.scheduler.step,0.25987194385379553,1
lf.step.total,105935.26760488749,1
lf.train.total,0.0,0
step.backward,103929.74186199717,1
step.forward,1961.8524149991572,1
