backward_allocated_delta_bytes,backward_allocated_end_bytes,backward_allocated_start_bytes,backward_global_peak_allocated_after_bytes,backward_global_peak_reserved_after_bytes,backward_milliseconds,backward_peak_allocated_bytes,backward_peak_allocated_delta_bytes,backward_peak_reserved_bytes,backward_peak_reserved_delta_bytes,backward_process_rss_delta_bytes,backward_process_rss_end_bytes,backward_process_rss_peak_end_bytes,backward_process_rss_start_bytes,backward_process_virtual_memory_delta_bytes,backward_process_virtual_memory_end_bytes,backward_process_virtual_memory_start_bytes,backward_reserved_delta_bytes,backward_reserved_end_bytes,backward_reserved_start_bytes,backward_reserved_unallocated_bytes,forward_allocated_delta_bytes,forward_allocated_end_bytes,forward_allocated_start_bytes,forward_backward_milliseconds,forward_global_peak_allocated_after_bytes,forward_global_peak_reserved_after_bytes,forward_milliseconds,forward_peak_allocated_bytes,forward_peak_allocated_delta_bytes,forward_peak_reserved_bytes,forward_peak_reserved_delta_bytes,forward_process_rss_delta_bytes,forward_process_rss_end_bytes,forward_process_rss_peak_end_bytes,forward_process_rss_start_bytes,forward_process_virtual_memory_delta_bytes,forward_process_virtual_memory_end_bytes,forward_process_virtual_memory_start_bytes,forward_reserved_delta_bytes,forward_reserved_end_bytes,forward_reserved_start_bytes,forward_reserved_unallocated_bytes,heartbeat_dataloader_fetch_milliseconds,heartbeat_optimizer_step_milliseconds,heartbeat_training_step_milliseconds,is_warmup,loss,measured_step,optimizer_update_side_milliseconds,peak_allocated_hbm_bytes,peak_reserved_hbm_bytes,process_rss_end_bytes,process_rss_peak_bytes,profiled_training_step_milliseconds,raw_step,reserved_unallocated_bytes,step,step_milliseconds,step_milliseconds_source,trainer_e2e_end_seconds,trainer_e2e_end_source,trainer_e2e_start_seconds,trainer_e2e_step_milliseconds,trainer_elapsed_seconds,training_step_allocated_delta_bytes,training_step_allocated_end_bytes,training_step_allocated_start_bytes,training_step_global_peak_allocated_after_bytes,training_step_global_peak_reserved_after_bytes,training_step_milliseconds,training_step_peak_allocated_bytes,training_step_peak_allocated_delta_bytes,training_step_peak_reserved_bytes,training_step_peak_reserved_delta_bytes,training_step_process_rss_delta_bytes,training_step_process_rss_end_bytes,training_step_process_rss_peak_end_bytes,training_step_process_rss_start_bytes,training_step_process_virtual_memory_delta_bytes,training_step_process_virtual_memory_end_bytes,training_step_process_virtual_memory_start_bytes,training_step_reserved_delta_bytes,training_step_reserved_end_bytes,training_step_reserved_start_bytes,training_step_reserved_unallocated_bytes
-102111494656,13568970240,115680464896,135594889728,141377404928,85038.76755794045,135594889728,19914424832,141377404928,9940500480,1283457024,243936854016,243936854016,242653396992,537001984,805145542656,804608540672,9940500480,141377404928,131436904448,5782515200,108929337344,115680464896,6751127552,131492.5639128778,130683622400,131436904448,46453.79635493737,130683622400,123932494848,131436904448,111107112960,69533171712,242653396992,242653396992,173120225280,80132374528,804607492096,724475117568,111107112960,131436904448,20329791488,753282048,155.5139999999966,4823.058000000003,131618.449,True,1.7588852643966675,0,5369.605087122181,135594889728,141377404928,243936854016,243936854016,131575.6134489784,1,5782515200,1,136862.169,heartbeat_dataloader_interval,224.29149,next_dataloader_batch_fetch_start,87.429321,136862.169,224.29149,6817842688,13568970240,6751127552,135594889728,141377404928,131575.6134489784,135594889728,128843762176,141377404928,121047613440,70816628736,243936854016,243936854016,173120225280,80670425088,805145542656,724475117568,121047613440,141377404928,20329791488,5782515200
-102145049088,13568971264,115714020352,135628445184,141503234048,104723.08773407713,135628445184,19914424832,141503234048,125829120,0,276947730432,276947730432,276947730432,0,811275059200,811275059200,125829120,141503234048,141377404928,5874788864,108895781888,115714020352,6818238464,147989.22894406132,130717177856,141377404928,43266.1412099842,130717177856,123898939392,141377404928,0,1099694080,276947730432,276947730432,275848036352,545849344,811272962048,810727112704,0,141377404928,141377404928,10660227072,3.1559999999899446,1006.418999999994,148106.881,True,17.090604782104492,0,1392.8020559386641,135628445184,141503234048,276947730432,276947730432,148073.06205993518,2,5874788864,2,149382.031,heartbeat_dataloader_interval,373.673521,next_dataloader_batch_fetch_start,224.29149,149382.031,373.673521,6750732800,13568971264,6818238464,135628445184,141503234048,148073.06205993518,135628445184,128810206720,141503234048,125829120,1099694080,276947730432,276947730432,275848036352,547946496,811275059200,810727112704,125829120,141503234048,141377404928,5874788864
-102145049088,13568971264,115714020352,135628445184,141503234048,35388.85973789729,135628445184,19914424832,141503234048,0,188743680,276891041792,276985479168,276702298112,0,811275255808,811275255808,0,141503234048,141503234048,5874788864,108895781888,115714020352,6818238464,47496.416216832586,130717177856,141503234048,12107.556478935294,130717177856,123898939392,141503234048,0,384958464,276702298112,276985479168,276317339648,0,811275255808,811275255808,0,141503234048,141503234048,10786056192,3.3740000000079817,1011.4040000000273,47616.80999999998,True,18.429542541503906,0,1395.5277831674393,135628445184,141503234048,276891041792,276985479168,47581.154325045645,3,5874788864,3,48891.944000000025,heartbeat_dataloader_interval,422.565465,next_dataloader_batch_fetch_start,373.673521,48891.944000000025,422.565465,6750732800,13568971264,6818238464,135628445184,141503234048,47581.154325045645,135628445184,128810206720,141503234048,0,573702144,276891041792,276985479168,276317339648,0,811275255808,811275255808,0,141503234048,141503234048,5874788864
-102145049088,13568971264,115714020352,135628445184,141503234048,31983.960082987323,135628445184,19914424832,141503234048,0,207618048,276882522112,276985479168,276674904064,0,811275452416,811275452416,0,141503234048,141503234048,5874788864,108895781888,115714020352,6818238464,42623.813693993725,130717177856,141503234048,10639.853611006401,130717177856,123898939392,141503234048,0,319356928,276674904064,276985479168,276355547136,0,811275452416,811275452416,0,141503234048,141503234048,10786056192,3.8020000000074106,997.3400000000083,42748.946999999986,True,18.790857315063477,0,1378.8723060062548,135628445184,141503234048,276882522112,276985479168,42707.20946602523,4,5874788864,4,44002.68599999998,heartbeat_dataloader_interval,466.568151,next_dataloader_batch_fetch_start,422.565465,44002.68599999998,466.568151,6750732800,13568971264,6818238464,135628445184,141503234048,42707.20946602523,135628445184,128810206720,141503234048,0,526974976,276882522112,276985479168,276355547136,0,811275452416,811275452416,0,141503234048,141503234048,5874788864
-102145049088,13568971264,115714020352,135628445184,141503234048,33028.77700608224,135628445184,19914424832,141503234048,0,188743680,276906508288,276985479168,276717764608,0,811275452416,811275452416,0,141503234048,141503234048,5874788864,108895781888,115714020352,6818238464,43634.4445340801,130717177856,141503234048,10605.667527997866,130717177856,123898939392,141503234048,0,364445696,276717764608,276985479168,276353318912,0,811275452416,811275452416,0,141503234048,141503234048,10786056192,2.962000000025,1018.7200000000303,43757.655,True,17.58584213256836,0,1404.6784659199184,135628445184,141503234048,276906508288,276985479168,43722.38683595788,5,5874788864,5,45039.12300000002,heartbeat_dataloader_interval,511.607274,next_dataloader_batch_fetch_start,466.568151,45039.12300000002,511.607274,6750732800,13568971264,6818238464,135628445184,141503234048,43722.38683595788,135628445184,128810206720,141503234048,0,553189376,276906508288,276985479168,276353318912,0,811275452416,811275452416,0,141503234048,141503234048,5874788864
-102145049088,13568971264,115714020352,135628445184,141503234048,32939.41868992988,135628445184,19914424832,141503234048,0,188743680,276980105216,276985479168,276791361536,0,811275452416,811275452416,0,141503234048,141503234048,5874788864,108895781888,115714020352,6818238464,43517.58266391698,130717177856,141503234048,10578.163973987103,130717177856,123898939392,141503234048,0,438960128,276791361536,276985479168,276352401408,0,811275452416,811275452416,0,141503234048,141503234048,10786056192,3.8509999999973843,1004.9699999999575,43637.436999999976,False,17.577890396118164,1,1432.2443360829857,135628445184,141503234048,276980105216,276985479168,43599.92022602819,6,5874788864,1,44949.82699999997,heartbeat_dataloader_interval,556.557101,trainer_end,511.607274,44949.82699999997,556.557101,6750732800,13568971264,6818238464,135628445184,141503234048,43599.92022602819,135628445184,128810206720,141503234048,0,627703808,276980105216,276985479168,276352401408,0,811275452416,811275452416,0,141503234048,141503234048,5874788864
