stage,host_milliseconds,samples
lf.data.next,0.8818249916657805,1
lf.grad_clip,6.5347549971193075,1
lf.inputs.prepare,0.41625602170825005,1
lf.log_save_eval,1.9253450445830822,2
lf.optimizer.step,1012.9226674658379,7
lf.scheduler.step,0.4144000122323632,1
lf.step.total,43599.92022602819,1
lf.train.total,0.0,0
step.backward,32939.41868992988,1
step.forward,10578.163973987103,1
