epoch,cpu_total_avail_gib,node0_avail_gib,node1_avail_gib
1783483887,937,465,471
1783483907,935,464,471
1783483927,914,443,471
1783483947,818,347,471
1783483967,811,340,471
1783483987,809,338,471
1783484007,808,337,471
1783484027,803,331,471
1783484047,796,326,470
1783484067,789,319,469
1783484088,769,301,467
1783484108,769,301,467
1783484128,929,460,468
1783484148,929,460,468
1783484168,929,460,468
1783484188,929,460,468
1783484208,929,461,468
1783484228,926,457,468
1783484248,845,377,467
1783484268,805,338,467
1783484288,805,338,467
1783484308,805,338,467
1783484328,800,333,467
1783484348,793,326,467
1783484368,786,319,467
1783484388,766,299,466
1783484408,632,165,467
1783484428,512,74,437
1783484448,389,74,314
1783484468,267,74,192
1783484488,175,74,100
1783484508,102,43,58
1783484528,505,392,112
1783484548,937,466,471
1783484568,937,465,471
1783484588,936,465,471
1783484608,936,465,471
1783484629,935,464,470
1783484649,925,457,468
1783484669,832,364,468
1783484689,809,341,468
1783484709,807,339,468
1783484729,807,339,468
1783484749,801,333,468
1783484769,795,327,467
1783484789,788,321,467
1783484809,726,261,465
1783484829,662,197,465
1783484849,591,125,465
1783484869,534,79,455
1783484889,927,461,465
1783484909,926,460,465
1783484929,926,460,465
1783484949,926,460,465
1783484969,927,461,465
1783484989,924,458,465
1783485009,824,359,464
1783485029,802,338,463
1783485049,801,339,462
1783485069,800,336,463
1783485089,793,329,463
1783485109,786,322,463
1783485129,779,316,463
1783485149,691,229,462
1783485170,585,124,461
1783485190,480,79,401
1783485210,379,79,299
1783485230,283,79,203
1783485250,189,79,109
1783485270,108,52,55
1783485290,49,21,28
1783485310,50,23,26
1783485330,46,20,26
1783485350,45,20,25
1783485370,45,20,24
1783485390,44,20,24
1783485410,44,20,24
1783485430,44,20,23
1783485450,44,20,23
1783485470,44,20,23
1783485490,44,20,23
1783485510,44,20,23
1783485530,44,20,24
1783485550,44,20,24
1783485570,44,20,24
1783485590,44,20,24
1783485610,44,20,24
1783485630,44,20,24
1783485651,44,20,24
1783485671,44,20,23
1783485691,44,20,24
1783485711,44,20,24
1783485731,44,20,23
1783485751,43,20,23
1783485771,44,20,23
1783485791,44,20,23
1783485811,44,20,23
1783485831,44,20,23
1783485851,44,20,23
1783485871,44,20,23
1783485891,44,20,23
1783485911,44,20,23
1783485931,44,20,24
1783485951,44,20,24
1783485971,44,20,24
1783485991,44,20,23
1783486011,44,20,23
1783486031,44,20,24
1783486051,44,20,24
1783486071,44,20,23
1783486091,44,20,24
1783486111,44,20,24
1783486131,44,20,24
1783486151,44,20,23
1783486172,44,20,23
1783486192,44,20,23
1783486212,43,20,23
1783486232,43,20,23
1783486252,43,20,23
1783486272,43,20,23
1783486292,43,20,23
1783486312,43,20,22
1783486332,43,20,22
1783486352,39,19,20
