epoch,cpu_avail_gib,node0_free_gib,node1_free_gib,max_trainer_rss_gib
1783448274,957,11,11,907
1783448294,957,11,11,907
1783448314,957,11,11,907
1783448334,957,11,11,907
1783448354,957,11,11,907
1783448375,957,11,11,907
1783448395,957,11,11,907
1783448415,957,11,11,907
1783448435,957,11,11,907
1783448455,957,11,11,907
1783448475,957,11,11,907
1783448495,957,11,11,907
1783448515,957,11,11,907
1783448535,957,11,11,907
1783448555,957,11,11,907
1783448575,957,11,11,907
1783448595,957,11,11,907
1783448615,957,11,11,907
1783448636,957,11,11,907
1783448656,957,11,12,907
1783448676,957,11,11,907
1783448696,957,11,11,907
1783448716,957,11,11,907
1783448736,957,11,11,907
1783448756,957,11,12,907
1783448776,957,11,12,907
1783448796,957,11,11,907
1783448816,957,11,11,907
1783448836,957,11,11,907
1783448856,957,11,11,907
1783448876,957,11,11,907
1783448896,957,19,12,905
1783448917,957,16,12,905
1783448937,957,14,12,905
1783448957,957,14,12,905
1783448977,957,13,12,905
1783448997,957,13,12,905
1783449017,957,13,13,905
1783449037,957,13,13,905
1783449057,957,13,13,905
1783449077,957,13,13,905
1783449097,957,13,13,905
1783449117,957,13,13,905
1783449137,957,13,13,905
1783449157,957,13,13,905
1783449177,957,13,13,905
1783449198,957,13,13,905
1783449218,957,13,13,905
1783449238,957,13,13,905
1783449258,957,13,13,905
1783449278,957,13,13,905
1783449298,957,13,13,905
1783449318,957,13,13,905
1783449338,957,13,13,905
1783449358,957,13,13,905
1783449378,957,13,13,905
1783449398,957,13,13,905
1783449418,957,13,13,905
1783449438,957,13,13,905
1783449458,957,13,13,905
1783449478,957,13,14,905
1783449499,957,13,14,905
1783449519,957,13,14,905
1783449539,957,13,14,905
1783449559,957,13,14,905
1783449579,957,13,14,905
1783449599,957,24,23,0
1783450201,957,385,433
1783450221,957,385,433
1783450241,957,385,432
1783450261,957,382,431
1783450281,957,353,406
1783450301,957,318,413
1783450321,957,296,424
1783450341,957,294,424
1783450361,957,293,424
1783450381,957,293,424
1783450401,957,293,424
1783450421,957,292,424
1783450441,957,290,425
1783450461,957,220,416
1783450481,957,178,412
1783450501,957,136,408
1783450521,957,87,408
1783450541,957,42,408
1783450561,957,11,363
1783450581,957,11,247
1783450601,957,11,243
1783450621,957,11,242
1783450642,957,11,242
1783450662,957,11,242
1783450682,957,11,242
1783450702,957,11,241
1783450722,957,11,241
1783450742,957,11,242
1783450762,957,11,241
1783450782,957,11,241
1783450802,957,11,242
1783450822,957,11,242
1783450842,957,11,241
1783450862,957,11,241
1783450882,957,11,241
1783450902,957,11,241
1783450922,957,11,241
1783450942,957,11,241
1783450962,957,11,241
1783450982,957,11,241
1783451002,957,11,241
1783451022,957,11,241
1783451042,957,11,241
1783451062,957,11,241
1783451082,957,11,241
1783451102,957,11,241
1783451122,957,11,222
1783451142,957,11,220
1783451162,957,11,219
1783451182,957,11,219
1783451202,957,11,219
1783451222,957,11,219
1783451243,957,11,219
1783451263,957,11,219
1783451283,957,11,219
1783451303,957,11,219
1783451323,957,12,218
1783451343,957,12,219
1783451363,957,12,218
1783451383,957,12,218
1783451403,957,12,219
1783451423,957,12,218
1783451443,957,12,219
1783451463,957,12,219
1783451483,957,12,219
1783451503,957,12,219
1783451523,957,12,219
1783451543,957,12,218
1783451563,957,12,218
1783451583,957,12,219
1783451603,957,12,219
1783451623,957,12,219
1783451643,957,13,219
1783451663,957,13,219
1783451683,957,13,218
1783451703,957,13,219
1783451723,957,13,219
1783451743,957,13,218
1783451763,957,21,234
1783451784,957,373,416
1783451804,957,373,416
1783451824,957,373,416
1783451844,957,373,416
1783451864,957,373,416
1783451884,957,373,416
1783451904,957,373,416
1783451924,957,373,416
1783451944,957,373,416
1783451964,957,373,416
1783451984,957,370,416
1783452004,957,369,417
1783452024,957,335,400
1783452044,957,305,412
1783452064,957,295,416
1783452084,957,295,413
1783452104,957,295,413
1783452124,957,295,413
1783452144,957,295,414
1783452164,957,293,414
1783452184,957,276,416
1783452204,957,195,413
1783452224,957,123,404
1783452244,957,51,396
1783452264,957,11,363
1783452284,957,11,298
1783452304,957,11,232
1783452324,957,11,130
1783452344,957,14,13
1783452364,957,11,14
1783452385,957,11,13
1783452405,957,11,12
1783452425,957,11,12
1783452445,957,11,12
1783452465,957,11,12
1783452485,957,11,12
1783452505,957,11,12
1783452525,957,11,11
1783452545,957,11,11
1783452565,957,11,11
1783452585,957,11,11
1783452605,957,11,12
1783452625,957,11,12
1783452645,957,11,11
1783452665,957,11,12
1783452685,957,11,12
1783452705,957,11,11
1783452725,957,11,11
1783452745,957,11,11
1783452765,957,11,11
1783452785,957,11,11
1783452805,957,11,11
1783452825,957,11,11
1783452845,957,11,11
1783452865,957,11,11
1783452885,957,13,11
1783452906,957,12,10
1783452926,957,15,11
1783452946,957,13,10
1783452966,957,12,10
1783452986,957,12,10
1783453006,957,12,10
1783453026,957,11,10
1783453046,957,15,14
1783453066,957,14,11
1783453086,957,13,10
1783453106,957,13,10
1783453126,957,12,10
1783453146,957,12,10
1783453166,957,11,10
1783453186,957,15,11
1783453206,957,15,11
1783453226,957,15,11
1783453246,957,15,11
1783453266,957,16,11
1783453286,957,15,11
1783453306,957,15,11
1783453326,957,16,11
1783453346,957,16,11
1783453366,957,15,11
1783453386,957,16,11
1783453406,957,16,11
1783453426,957,16,11
1783453446,957,16,11
1783453466,957,16,11
1783453486,957,16,11
1783453506,957,16,11
1783453527,957,16,11
1783453547,957,22,17
1783453567,957,432,447
1783453587,957,432,447
1783453607,957,431,447
1783453627,957,431,447
1783453647,957,431,447
1783453667,957,431,447
1783453687,957,431,447
1783453707,957,431,447
1783453727,957,431,447
1783453747,957,431,447
1783453767,957,432,447
1783453787,957,428,447
1783453807,957,428,446
1783453827,957,374,422
1783453847,957,347,434
1783453867,957,331,441
1783453887,957,329,441
1783453907,957,328,441
1783453927,957,328,441
1783453947,957,328,441
1783453967,957,328,441
1783453987,957,328,441
1783454007,957,287,435
1783454027,957,227,431
1783454047,957,162,430
1783454067,957,92,426
1783454087,957,20,425
1783454107,957,11,376
1783454128,957,11,318
1783454148,957,11,263
1783454168,957,11,123
1783454188,957,14,13
1783454208,957,13,10
1783454228,957,12,10
1783454248,957,13,10
1783454268,957,13,10
1783454288,957,13,10
1783454308,957,13,10
1783454328,957,13,10
1783454348,957,13,10
1783454368,957,13,10
1783454388,957,13,10
1783454408,957,13,10
1783454428,957,13,10
1783454448,957,13,10
1783454468,957,13,10
1783454488,957,13,10
1783454508,957,13,10
1783454528,957,13,10
1783454548,957,13,10
1783454568,957,13,10
1783454588,957,13,10
1783454608,957,13,10
1783454628,957,13,10
1783454648,957,13,10
1783454669,957,13,10
1783454689,957,13,10
1783454709,957,13,10
1783454729,957,13,10
1783454749,957,13,10
1783454769,957,13,10
1783454789,957,13,10
1783454809,957,12,14
1783454829,957,11,13
1783454849,957,11,11
1783454869,957,11,10
1783454889,957,11,10
1783454909,957,11,10
1783454929,957,11,12
1783454949,957,11,11
1783454969,957,11,11
1783454989,957,11,14
1783455009,957,11,13
1783455029,957,11,13
1783455049,957,11,13
1783455069,957,11,13
1783455089,957,11,13
1783455109,957,11,13
1783455129,957,14,12
1783455149,957,14,10
1783455169,957,13,12
1783455189,957,13,10
1783455209,957,13,10
1783455229,957,12,10
1783455249,957,12,10
1783455270,957,12,10
1783455290,957,12,10
1783455310,957,12,10
1783455330,957,16,12
1783455350,957,15,11
1783455370,957,16,11
1783455390,957,16,11
1783455410,957,16,11
1783455430,957,16,11
1783455450,957,16,11
1783455470,957,15,11
1783455490,957,16,11
1783455510,957,16,11
1783455530,957,15,11
1783455550,957,429,453
1783455570,957,428,453
1783455590,957,427,452
