1783455642,909,47,428,453
1783455662,909,47,428,453
1783455682,909,47,428,453
1783455702,909,47,427,453
1783455722,909,48,427,453
1783455742,909,47,427,453
1783455762,909,47,427,453
1783455782,910,47,427,453
1783455802,906,51,423,453
1783455822,908,49,424,453
1783455842,857,100,364,431
1783455862,841,116,337,442
1783455882,836,121,326,448
1783455902,834,122,325,448
1783455922,835,122,325,448
1783455942,834,123,324,449
1783455962,835,122,325,449
1783455982,834,122,324,449
1783456002,833,124,323,447
1783456022,771,186,268,440
1783456042,714,243,212,439
1783456062,650,307,148,439
1783456082,585,371,84,439
1783456102,523,434,21,438
1783456122,466,491,11,392
1783456142,411,546,11,337
1783456162,356,601,11,282
1783456182,256,701,11,181
1783456203,83,874,10,10
1783456223,83,874,19,11
1783456243,81,876,18,10
1783456263,81,876,18,10
1783456283,81,876,18,10
1783456303,81,876,18,10
1783456323,81,876,18,10
1783456343,81,876,19,10
1783456363,81,875,19,10
1783456383,81,876,18,10
1783456403,81,876,18,10
1783456423,81,875,18,10
1783456443,82,875,19,10
1783456463,82,875,19,10
1783456483,81,875,18,10
1783456503,81,875,18,10
1783456523,81,875,18,10
1783456543,81,876,18,10
1783456563,81,875,18,10
1783456583,81,876,18,10
1783456603,81,875,18,10
1783456623,81,876,18,10
1783456643,81,876,17,10
1783456663,81,876,18,10
1783456683,81,876,18,10
1783456703,81,875,18,10
1783456724,81,875,18,10
1783456744,81,875,18,10
1783456764,81,875,18,10
1783456784,82,875,18,10
1783456804,82,875,18,10
1783456824,81,875,18,10
1783456844,81,876,18,10
1783456864,81,875,18,10
1783456884,82,875,18,10
1783456904,82,875,18,10
1783456924,71,885,12,16
1783456944,69,888,11,15
1783456964,68,889,11,14
1783456984,68,889,11,13
1783457004,68,889,11,13
1783457024,66,891,11,11
1783457044,66,891,15,13
1783457064,63,894,13,11
1783457084,63,893,15,10
1783457104,63,893,14,10
1783457124,63,894,14,10
1783457144,63,894,14,10
1783457164,63,894,14,10
1783457184,63,894,14,10
1783457204,60,896,11,10
1783457224,62,895,13,10
1783457244,62,895,13,10
1783457264,62,895,13,10
1783457284,62,895,13,10
1783457305,62,895,13,10
1783457325,62,895,13,10
1783457345,62,895,13,10
1783457365,62,895,13,10
1783457385,62,895,13,10
1783457405,62,895,13,11
1783457425,61,896,12,11
1783457445,61,896,11,11
1783457465,62,895,13,11
1783457485,62,895,13,11
1783457505,62,895,13,11
1783457525,62,895,13,11
1783457545,62,895,13,11
1783457565,62,895,13,11
1783457585,62,895,13,11
1783457605,62,895,13,11
1783457625,62,895,13,11
1783457645,62,895,13,11
1783457665,62,895,13,11
1783457685,62,895,13,11
1783457705,62,895,13,11
1783457725,62,895,12,11
1783457745,62,895,12,11
1783457765,62,895,12,11
1783457785,708,248,425,248
1783457805,917,40,426,451
1783457825,917,40,425,451
1783457845,917,40,426,451
1783457865,917,40,426,451
1783457885,917,40,426,451
1783457906,917,40,426,451
1783457926,917,40,426,451
1783457946,917,40,426,451
1783457966,917,40,426,451
1783457986,917,40,426,451
1783458006,917,40,425,451
1783458026,917,40,425,451
1783458046,918,39,426,451
1783458066,914,43,421,451
1783458086,911,46,419,450
1783458106,868,88,378,428
1783458126,852,104,351,439
1783458146,842,114,330,449
