stage,host_milliseconds,samples
lf.data.next,0.9075839770957828,1
lf.grad_clip,5.756897968240082,1
lf.inputs.prepare,0.5594560643658042,1
lf.log_save_eval,11.153972009196877,2
lf.optimizer.step,996.2466100031244,7
lf.scheduler.step,0.26732904370874166,1
lf.step.total,13365.60970498249,1
lf.train.total,0.0,0
step.backward,7888.983300072141,1
step.forward,5395.460200961679,1
