backward_allocated_delta_bytes,backward_allocated_end_bytes,backward_allocated_start_bytes,backward_global_peak_allocated_after_bytes,backward_global_peak_reserved_after_bytes,backward_milliseconds,backward_peak_allocated_bytes,backward_peak_allocated_delta_bytes,backward_peak_reserved_bytes,backward_peak_reserved_delta_bytes,backward_process_rss_delta_bytes,backward_process_rss_end_bytes,backward_process_rss_peak_end_bytes,backward_process_rss_start_bytes,backward_process_virtual_memory_delta_bytes,backward_process_virtual_memory_end_bytes,backward_process_virtual_memory_start_bytes,backward_reserved_delta_bytes,backward_reserved_end_bytes,backward_reserved_start_bytes,backward_reserved_unallocated_bytes,forward_allocated_delta_bytes,forward_allocated_end_bytes,forward_allocated_start_bytes,forward_backward_milliseconds,forward_global_peak_allocated_after_bytes,forward_global_peak_reserved_after_bytes,forward_milliseconds,forward_peak_allocated_bytes,forward_peak_allocated_delta_bytes,forward_peak_reserved_bytes,forward_peak_reserved_delta_bytes,forward_process_rss_delta_bytes,forward_process_rss_end_bytes,forward_process_rss_peak_end_bytes,forward_process_rss_start_bytes,forward_process_virtual_memory_delta_bytes,forward_process_virtual_memory_end_bytes,forward_process_virtual_memory_start_bytes,forward_reserved_delta_bytes,forward_reserved_end_bytes,forward_reserved_start_bytes,forward_reserved_unallocated_bytes,heartbeat_dataloader_fetch_milliseconds,heartbeat_optimizer_step_milliseconds,heartbeat_training_step_milliseconds,is_warmup,loss,measured_step,optimizer_update_side_milliseconds,peak_allocated_hbm_bytes,peak_reserved_hbm_bytes,process_rss_end_bytes,process_rss_peak_bytes,profiled_training_step_milliseconds,raw_step,reserved_unallocated_bytes,step,step_milliseconds,step_milliseconds_source,trainer_e2e_end_seconds,trainer_e2e_end_source,trainer_e2e_start_seconds,trainer_e2e_step_milliseconds,trainer_elapsed_seconds,training_step_allocated_delta_bytes,training_step_allocated_end_bytes,training_step_allocated_start_bytes,training_step_global_peak_allocated_after_bytes,training_step_global_peak_reserved_after_bytes,training_step_milliseconds,training_step_peak_allocated_bytes,training_step_peak_allocated_delta_bytes,training_step_peak_reserved_bytes,training_step_peak_reserved_delta_bytes,training_step_process_rss_delta_bytes,training_step_process_rss_end_bytes,training_step_process_rss_peak_end_bytes,training_step_process_rss_start_bytes,training_step_process_virtual_memory_delta_bytes,training_step_process_virtual_memory_end_bytes,training_step_process_virtual_memory_start_bytes,training_step_reserved_delta_bytes,training_step_reserved_end_bytes,training_step_reserved_start_bytes,training_step_reserved_unallocated_bytes
-19841556992,13842058752,33683615744,73512464896,84502642688,8239.504066063091,73512464896,39828849152,84502642688,19901972480,56623104,172956712960,213280882688,172900089856,131072,726215032832,726214901760,19901972480,84502642688,64600670208,10990177792,26932094976,33683615744,6751520768,14469.447221024893,63689929728,64600670208,6229.943154961802,63689929728,56938408960,64600670208,44270878720,1583546368,172900089856,213280882688,171316543488,1738604544,726213853184,724475248640,44270878720,64600670208,20329791488,910740480,196.6199999999958,4938.185000000004,14583.299999999994,True,1.6621205806732178,0,5511.721778975101,73512464896,84502642688,172956712960,213280882688,14542.720400029793,1,10990177792,1,19981.168999999994,heartbeat_dataloader_interval,101.977954,next_dataloader_batch_fetch_start,81.996785,19981.168999999994,101.977954,6817842688,13569363456,6751520768,73512464896,84502642688,14542.720400029793,73512464896,66760944128,84502642688,64172851200,1640169472,172956712960,213280882688,171316543488,1739784192,726215032832,724475248640,64172851200,84502642688,20329791488,10990177792
-19875111424,13842059776,33717171200,73546020352,85215674368,4467.605054029264,73546020352,39828849152,85215674368,713031680,0,205769998336,213280882688,205769998336,0,742004097024,742004097024,713031680,85215674368,84502642688,11669654016,26898539520,33717171200,6818631680,6479.781902045943,63723485184,84502642688,2012.1768480166793,63723485184,56904853504,84502642688,0,594542592,205769998336,213280882688,205175455744,0,742004097024,742004097024,0,84502642688,84502642688,20779157504,2.9389999999978045,990.34300000001,6550.538000000003,True,1.7086398601531982,0,1304.543097954067,73546020352,85215674368,205769998336,213280882688,6519.39570705872,2,11669654016,2,7784.32500000001,heartbeat_dataloader_interval,109.762279,next_dataloader_batch_fetch_start,101.977954,7784.32500000001,109.762279,6750732800,13569364480,6818631680,73546020352,85215674368,6519.39570705872,73546020352,66727388672,85215674368,713031680,594542592,205769998336,213280882688,205175455744,0,742004097024,742004097024,713031680,85215674368,84502642688,11669654016
-19875111424,13842059776,33717171200,73546020352,85215674368,4485.267522977665,73546020352,39828849152,85215674368,0,0,205987577856,213280882688,205987577856,0,742004883456,742004883456,0,85215674368,85215674368,11669654016,26898539520,33717171200,6818631680,6417.226517922245,63723485184,85215674368,1931.95899494458,63723485184,56904853504,85215674368,0,320864256,205987577856,213280882688,205666713600,0,742004097024,742004097024,0,85215674368,85215674368,21492189184,3.359999999986485,978.2150000000058,6490.705000000005,True,1.8456871509552002,0,1298.470482077747,73546020352,85215674368,205987577856,213280882688,6458.4936370374635,3,11669654016,3,7715.696999999992,heartbeat_dataloader_interval,117.477976,next_dataloader_batch_fetch_start,109.762279,7715.696999999992,117.477976,6750732800,13569364480,6818631680,73546020352,85215674368,6458.4936370374635,73546020352,66727388672,85215674368,0,320864256,205987577856,213280882688,205666713600,786432,742004883456,742004097024,0,85215674368,85215674368,11669654016
-19875111424,13842059776,33717171200,73546020352,85215674368,4497.838568058796,73546020352,39828849152,85215674368,0,0,205920272384,213280882688,205920272384,0,742004883456,742004883456,0,85215674368,85215674368,11669654016,26898539520,33717171200,6818631680,6428.2274490688,63723485184,85215674368,1930.3888810100034,63723485184,56904853504,85215674368,0,25886720,205920272384,213280882688,205894385664,0,742004883456,742004883456,0,85215674368,85215674368,21492189184,3.2980000000009113,991.9390000000021,6500.714000000002,True,1.837056040763855,0,1311.0185509312087,73546020352,85215674368,205920272384,213280882688,6468.681417056359,4,11669654016,4,7739.246000000008,heartbeat_dataloader_interval,125.217222,next_dataloader_batch_fetch_start,117.477976,7739.246000000008,125.217222,6750732800,13569364480,6818631680,73546020352,85215674368,6468.681417056359,73546020352,66727388672,85215674368,0,25886720,205920272384,213280882688,205894385664,0,742004883456,742004883456,0,85215674368,85215674368,11669654016
-19875111424,13842059776,33717171200,73546020352,85215674368,7785.39129497949,73546020352,39828849152,85215674368,0,0,205985021952,213280882688,205985021952,0,742005473280,742005473280,0,85215674368,85215674368,11669654016,26898539520,33717171200,6818631680,13136.263158987276,63723485184,85215674368,5350.871864007786,63723485184,56904853504,85215674368,0,165543936,205985021952,213280882688,205819478016,0,742004883456,742004883456,0,85215674368,85215674368,21492189184,3.1659999999931188,994.5319999999924,13243.146999999994,True,1.5316461324691772,0,1347.2728410127238,73546020352,85215674368,205985021952,213280882688,13210.47707402613,5,11669654016,5,14483.536,heartbeat_dataloader_interval,139.700758,next_dataloader_batch_fetch_start,125.217222,14483.536,139.700758,6750732800,13569364480,6818631680,73546020352,85215674368,13210.47707402613,73546020352,66727388672,85215674368,0,165543936,205985021952,213280882688,205819478016,589824,742005473280,742004883456,0,85215674368,85215674368,11669654016
-19875111424,13842059776,33717171200,73546020352,85215674368,7888.983300072141,73546020352,39828849152,85215674368,0,0,206003961856,213280882688,206003961856,0,742006128640,742006128640,0,85215674368,85215674368,11669654016,26898539520,33717171200,6818631680,13284.44350103382,63723485184,85215674368,5395.460200961679,63723485184,56904853504,85215674368,0,118358016,206003961856,213280882688,205885603840,0,742005473280,742005473280,0,85215674368,85215674368,21492189184,3.709999999983893,996.042000000017,13402.751000000024,False,1.5738650560379028,1,1423.797498966167,73546020352,85215674368,206003961856,213280882688,13365.60970498249,6,11669654016,1,14708.240999999987,heartbeat_dataloader_interval,154.408999,trainer_end,139.700758,14708.240999999987,154.408999,6750732800,13569364480,6818631680,73546020352,85215674368,13365.60970498249,73546020352,66727388672,85215674368,0,118358016,206003961856,213280882688,205885603840,655360,742006128640,742005473280,0,85215674368,85215674368,11669654016
