stage,host_milliseconds,samples
lf.data.next,0.7022719364613295,1
lf.grad_clip,5.599905038252473,1
lf.inputs.prepare,0.32931205350905657,1
lf.log_save_eval,10.068883479107171,2
lf.optimizer.step,994.3964288603248,7
lf.scheduler.step,0.27862400747835636,1
lf.step.total,14660.179169033654,1
lf.train.total,0.0,0
step.backward,14018.059259047732,1
step.forward,600.9452729485929,1
