backward_allocated_delta_bytes,backward_allocated_end_bytes,backward_allocated_start_bytes,backward_global_peak_allocated_after_bytes,backward_global_peak_reserved_after_bytes,backward_milliseconds,backward_peak_allocated_bytes,backward_peak_allocated_delta_bytes,backward_peak_reserved_bytes,backward_peak_reserved_delta_bytes,backward_process_rss_delta_bytes,backward_process_rss_end_bytes,backward_process_rss_peak_end_bytes,backward_process_rss_start_bytes,backward_process_virtual_memory_delta_bytes,backward_process_virtual_memory_end_bytes,backward_process_virtual_memory_start_bytes,backward_reserved_delta_bytes,backward_reserved_end_bytes,backward_reserved_start_bytes,backward_reserved_unallocated_bytes,forward_allocated_delta_bytes,forward_allocated_end_bytes,forward_allocated_start_bytes,forward_backward_milliseconds,forward_global_peak_allocated_after_bytes,forward_global_peak_reserved_after_bytes,forward_milliseconds,forward_peak_allocated_bytes,forward_peak_allocated_delta_bytes,forward_peak_reserved_bytes,forward_peak_reserved_delta_bytes,forward_process_rss_delta_bytes,forward_process_rss_end_bytes,forward_process_rss_peak_end_bytes,forward_process_rss_start_bytes,forward_process_virtual_memory_delta_bytes,forward_process_virtual_memory_end_bytes,forward_process_virtual_memory_start_bytes,forward_reserved_delta_bytes,forward_reserved_end_bytes,forward_reserved_start_bytes,forward_reserved_unallocated_bytes,heartbeat_dataloader_fetch_milliseconds,heartbeat_optimizer_step_milliseconds,heartbeat_training_step_milliseconds,is_warmup,loss,measured_step,optimizer_update_side_milliseconds,peak_allocated_hbm_bytes,peak_reserved_hbm_bytes,process_rss_end_bytes,process_rss_peak_bytes,profiled_training_step_milliseconds,raw_step,reserved_unallocated_bytes,step,step_milliseconds,step_milliseconds_source,trainer_e2e_end_seconds,trainer_e2e_end_source,trainer_e2e_start_seconds,trainer_e2e_step_milliseconds,trainer_elapsed_seconds,training_step_allocated_delta_bytes,training_step_allocated_end_bytes,training_step_allocated_start_bytes,training_step_global_peak_allocated_after_bytes,training_step_global_peak_reserved_after_bytes,training_step_milliseconds,training_step_peak_allocated_bytes,training_step_peak_allocated_delta_bytes,training_step_peak_reserved_bytes,training_step_peak_reserved_delta_bytes,training_step_process_rss_delta_bytes,training_step_process_rss_end_bytes,training_step_process_rss_peak_end_bytes,training_step_process_rss_start_bytes,training_step_process_virtual_memory_delta_bytes,training_step_process_virtual_memory_end_bytes,training_step_process_virtual_memory_start_bytes,training_step_reserved_delta_bytes,training_step_reserved_end_bytes,training_step_reserved_start_bytes,training_step_reserved_unallocated_bytes
3456048128,13604359680,10148311552,15126917632,20329791488,98790.84424907342,15126917632,4978606080,20329791488,0,922419200,227868868608,227890167808,226946449408,1073872896,727272914944,726199042048,0,20329791488,20329791488,5202873856,3397478912,10148311552,6750832640,189514.80878109578,13899068416,20329791488,90723.96453202236,13899068416,7148235776,20329791488,0,1307443200,226946449408,226997960704,225639006208,1729232896,726197665792,724468432896,0,20329791488,20329791488,6430723072,233.30500000000143,6216.500000000053,189625.788,True,1.3858578205108643,0,6808.674218904227,15126917632,20329791488,227868868608,227890167808,189586.1603230005,1,5202873856,1,196323.483,heartbeat_dataloader_interval,312.056964,next_dataloader_batch_fetch_start,115.733481,196323.483,312.056964,6817842688,13568675328,6750832640,15126917632,20329791488,189586.1603230005,15126917632,8376084992,20329791488,0,2229862400,227868868608,227890167808,225639006208,2804482048,727272914944,724468432896,0,20329791488,20329791488,5202873856
3422493696,13604360704,10181867008,15160473088,20329791488,27048.252258915454,15160473088,4978606080,20329791488,0,113246208,243874332672,243874332672,243761086464,536870912,743063158784,742526287872,0,20329791488,20329791488,5169318400,3363923456,10181867008,6817943552,40841.60093602259,13932623872,20329791488,13793.348677107133,13932623872,7114680320,20329791488,0,56623104,243761086464,243761086464,243704463360,327680,742525239296,742524911616,0,20329791488,20329791488,6397167616,3.921999999988657,1021.096,40962.35400000001,True,1.3503029346466064,0,1383.5400639774234,15160473088,20329791488,243874332672,243874332672,40921.45257606171,2,5169318400,2,42225.14100000001,heartbeat_dataloader_interval,354.282105,next_dataloader_batch_fetch_start,312.056964,42225.14100000001,354.282105,6750732800,13568676352,6817943552,15160473088,20329791488,40921.45257606171,15160473088,8342529536,20329791488,0,169869312,243874332672,243874332672,243704463360,538247168,743063158784,742524911616,0,20329791488,20329791488,5169318400
3422493696,13604360704,10181867008,15160473088,20329791488,13983.470012899488,15160473088,4978606080,20329791488,0,0,243851395072,243874332672,243851395072,0,743063158784,743063158784,0,20329791488,20329791488,5169318400,3363923456,10181867008,6817943552,14579.939089948311,13932623872,20329791488,596.4690770488232,13932623872,7114680320,20329791488,0,0,243851395072,243874332672,243851395072,0,743063158784,743063158784,0,20329791488,20329791488,6397167616,3.448999999989155,986.6470000000049,14654.120999999976,True,2.4099960327148438,0,1308.2489100517014,15160473088,20329791488,243851395072,243874332672,14620.24470209144,3,5169318400,3,15888.188000000013,heartbeat_dataloader_interval,370.170293,next_dataloader_batch_fetch_start,354.282105,15888.188000000013,370.170293,6750732800,13568676352,6817943552,15160473088,20329791488,14620.24470209144,15160473088,8342529536,20329791488,0,0,243851395072,243874332672,243851395072,0,743063158784,743063158784,0,20329791488,20329791488,5169318400
3422493696,13604360704,10181867008,15160473088,20329791488,30400.594647973776,15160473088,4978606080,20329791488,0,132120576,244059013120,244059013120,243926892544,0,743065452544,743065452544,0,20329791488,20329791488,5169318400,3363923456,10181867008,6817943552,47760.82829304505,13932623872,20329791488,17360.233645071276,13932623872,7114680320,20329791488,0,75497472,243926892544,243926892544,243851395072,1114112,743064272896,743063158784,0,20329791488,20329791488,6397167616,3.383999999982734,995.4060000000027,47870.67099999996,True,2.218510627746582,0,1352.3827069549297,15160473088,20329791488,244059013120,244059013120,47835.90159704909,4,5169318400,4,49113.21099999998,heartbeat_dataloader_interval,419.283504,next_dataloader_batch_fetch_start,370.170293,49113.21099999998,419.283504,6750732800,13568676352,6817943552,15160473088,20329791488,47835.90159704909,15160473088,8342529536,20329791488,0,207618048,244059013120,244059013120,243851395072,2293760,743065452544,743063158784,0,20329791488,20329791488,5169318400
3422493696,13604360704,10181867008,15160473088,20329791488,13945.491675985977,15160473088,4978606080,20329791488,0,0,244096761856,244096761856,244096761856,0,743065452544,743065452544,0,20329791488,20329791488,5169318400,3363923456,10181867008,6817943552,14529.792752000503,13932623872,20329791488,584.3010760145262,13932623872,7114680320,20329791488,0,37748736,244096761856,244096761856,244059013120,0,743065452544,743065452544,0,20329791488,20329791488,6397167616,3.3930000000168548,982.5739999999996,14604.797000000019,True,1.67863130569458,0,1300.3372479994941,15160473088,20329791488,244096761856,244096761856,14570.263835019432,5,5169318400,5,15830.129999999997,heartbeat_dataloader_interval,435.113634,next_dataloader_batch_fetch_start,419.283504,15830.129999999997,435.113634,6750732800,13568676352,6817943552,15160473088,20329791488,14570.263835019432,15160473088,8342529536,20329791488,0,37748736,244096761856,244096761856,244059013120,0,743065452544,743065452544,0,20329791488,20329791488,5169318400
3422493696,13604360704,10181867008,15160473088,20329791488,14018.059259047732,15160473088,4978606080,20329791488,0,0,244115636224,244115636224,244115636224,0,743065452544,743065452544,0,20329791488,20329791488,5169318400,3363923456,10181867008,6817943552,14619.004531996325,13932623872,20329791488,600.9452729485929,13932623872,7114680320,20329791488,0,18874368,244115636224,244115636224,244096761856,0,743065452544,743065452544,0,20329791488,20329791488,6397167616,3.16400000002659,994.6980000000281,14694.802000000038,False,1.4556084871292114,1,1401.6364680036877,15160473088,20329791488,244115636224,244115636224,14660.179169033654,6,5169318400,1,16020.641000000012,heartbeat_dataloader_interval,451.134275,trainer_end,435.113634,16020.641000000012,451.134275,6750732800,13568676352,6817943552,15160473088,20329791488,14660.179169033654,15160473088,8342529536,20329791488,0,18874368,244115636224,244115636224,244096761856,0,743065452544,743065452544,0,20329791488,20329791488,5169318400
